datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-08 20:09:00+00:00,,70,77,0,,,,70,70,70,100,100,77,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:10:00+00:00,,70,77,0,,,,70,70,70,77,77,77,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:11:00+00:00,,70,77,0,,,,70,70,70,77,77,77,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:13:00+00:00,,72,74,0,,,,70,72,70,77,77,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:15:00+00:00,,73,74,0,,,,72,73,72,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:16:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:17:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:24:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:26:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:27:00+00:00,74.0,73,74,26,74.0,74.0,74.0,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:29:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:35:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:37:00+00:00,74.0,73,74,165,74.0,74.0,74.0,73,73,73,74,75,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:38:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:39:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:40:00+00:00,74.0,73,74,387,74.0,74.0,74.0,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:48:00+00:00,74.0,73,74,3,74.0,74.0,74.0,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:51:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:55:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 20:58:00+00:00,,73,74,0,,,,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:00:00+00:00,74.0,73,74,33,74.0,74.0,74.0,73,73,73,74,74,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:01:00+00:00,74.0,74,75,265,74.0,74.0,74.0,73,74,73,74,75,74,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:02:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:03:00+00:00,75.0,74,75,52,75.0,75.0,75.0,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:04:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:05:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:06:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:07:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:08:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:09:00+00:00,75.0,74,75,26,75.0,75.0,75.0,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:10:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:11:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:12:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:13:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:14:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:15:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:16:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:17:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:19:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:20:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:21:00+00:00,75.0,74,75,26,75.0,75.0,75.0,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:22:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:23:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:24:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:25:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:26:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:27:00+00:00,,74,75,0,,,,74,74,74,75,75,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:28:00+00:00,76.0,75,76,453,75.0,76.0,75.0,74,75,74,75,76,75,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:30:00+00:00,76.0,75,76,18,76.0,76.0,76.0,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:31:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:32:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:33:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:38:00+00:00,76.0,75,76,33,76.0,76.0,76.0,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:39:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:40:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:42:00+00:00,76.0,75,76,247,76.0,76.0,76.0,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:43:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:44:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:49:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:50:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:52:00+00:00,76.0,75,76,64,76.0,76.0,76.0,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:54:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 21:55:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:00:00+00:00,76.0,75,76,126,76.0,76.0,76.0,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:01:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:02:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:04:00+00:00,77.0,76,77,616,76.0,77.0,76.0,75,76,75,76,77,76,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:05:00+00:00,77.0,76,77,31,77.0,77.0,77.0,76,76,76,77,77,77,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:06:00+00:00,,76,77,0,,,,76,76,76,77,77,77,,KXATPMATCH-25NOV09ALCDE-ALC
2025-11-08 22:09:00+00:00,77.0,76,77,7,77.0,77.0,77.0,76,76,76,77,77,77,,KXATPMATCH-25NOV09ALCDE-ALC
