datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-09 18:12:00+00:00,,59,69,0,,,,0,59,0,69,69,69,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:13:00+00:00,,59,69,0,,,,59,59,59,69,69,69,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:16:00+00:00,,59,69,0,,,,59,59,59,69,69,69,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:19:00+00:00,,60,70,0,,,,59,60,25,69,77,69,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:21:00+00:00,,60,70,0,,,,60,60,60,70,70,70,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:24:00+00:00,,64,65,0,,,,60,64,60,70,70,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:26:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:31:00+00:00,65.0,64,65,9,65.0,65.0,65.0,64,64,64,65,66,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:32:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:33:00+00:00,,64,65,0,,,,64,64,63,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:34:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:43:00+00:00,65.0,64,65,7,65.0,65.0,65.0,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:45:00+00:00,65.0,64,65,1,65.0,65.0,65.0,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:46:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:51:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:57:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 18:58:00+00:00,65.0,64,65,15,65.0,65.0,65.0,64,64,63,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:07:00+00:00,,64,65,0,,,,64,64,63,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:13:00+00:00,,64,65,0,,,,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:15:00+00:00,65.0,64,65,1,65.0,65.0,65.0,64,64,64,65,65,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:29:00+00:00,65.0,64,66,2124,65.0,65.0,65.0,64,64,64,65,66,65,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:33:00+00:00,66.0,64,66,1,66.0,66.0,66.0,64,64,64,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:34:00+00:00,,65,66,0,,,,64,65,64,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:35:00+00:00,,65,66,0,,,,65,65,65,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:36:00+00:00,,65,66,0,,,,65,65,65,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:38:00+00:00,66.0,65,66,147,66.0,66.0,66.0,65,65,64,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:39:00+00:00,,65,66,0,,,,65,65,64,66,67,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:40:00+00:00,,65,66,0,,,,65,65,65,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:44:00+00:00,,65,66,0,,,,65,65,64,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:49:00+00:00,66.0,65,66,7,66.0,66.0,66.0,65,65,65,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
2025-11-09 19:51:00+00:00,,65,66,0,,,,65,65,65,66,66,66,,KXATPMATCH-25NOV10MUSFRI-FRI
