datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-09 21:16:00+00:00,,5,12,0,,,,4,5,4,100,100,12,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:17:00+00:00,,6,12,0,,,,5,6,5,12,12,12,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:22:00+00:00,,6,12,0,,,,6,6,6,12,12,12,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:26:00+00:00,,6,9,0,,,,6,6,6,12,12,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:34:00+00:00,,7,9,0,,,,6,7,6,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:35:00+00:00,9.0,7,9,5,9.0,9.0,9.0,7,7,7,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:38:00+00:00,9.0,7,9,52,9.0,9.0,9.0,7,7,7,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:41:00+00:00,,7,9,0,,,,7,7,7,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:44:00+00:00,9.0,7,9,10,9.0,9.0,9.0,7,7,7,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:46:00+00:00,,8,9,0,,,,7,8,7,9,9,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:47:00+00:00,10.0,8,10,1023,9.0,10.0,9.0,8,8,8,9,10,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:48:00+00:00,10.0,8,10,54,10.0,10.0,10.0,8,8,8,10,10,10,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:49:00+00:00,10.0,8,10,47,10.0,10.0,10.0,8,8,8,10,10,10,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:50:00+00:00,10.0,8,10,188,10.0,10.0,10.0,8,8,8,10,10,10,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:53:00+00:00,10.0,8,10,474,9.0,10.0,9.0,8,8,8,10,10,9,,KXATPMATCH-25NOV10SINAUG-AUG
2025-11-09 21:55:00+00:00,,8,10,0,,,,8,8,8,10,10,10,,KXATPMATCH-25NOV10SINAUG-AUG
