datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-09 21:16:00+00:00,,88,95,0,,,,4,88,4,100,100,95,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:17:00+00:00,,88,94,0,,,,88,88,88,95,95,94,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:22:00+00:00,,88,94,0,,,,88,88,88,94,94,94,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:26:00+00:00,,91,93,0,,,,88,91,88,94,94,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:43:00+00:00,,91,93,0,,,,91,91,91,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:47:00+00:00,,91,93,0,,,,91,91,91,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:53:00+00:00,93.0,90,93,50,93.0,93.0,93.0,91,91,90,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 21:55:00+00:00,93.0,90,93,160,93.0,93.0,93.0,90,90,90,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:01:00+00:00,,90,93,0,,,,90,90,90,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:15:00+00:00,93.0,90,93,8,93.0,93.0,93.0,90,90,90,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:18:00+00:00,,91,92,0,,,,90,91,90,93,93,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:21:00+00:00,92.0,91,92,1,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:22:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:24:00+00:00,91.0,91,92,167,91.0,91.0,91.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:31:00+00:00,,91,92,0,,,,91,91,90,92,93,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:33:00+00:00,,91,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:37:00+00:00,92.0,91,92,54,92.0,92.0,92.0,91,91,91,92,93,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:39:00+00:00,,90,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:49:00+00:00,,90,91,0,,,,90,90,90,92,92,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:51:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:52:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:53:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:54:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:55:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:56:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:57:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:58:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 22:59:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:00:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:01:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:02:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:03:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:04:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:05:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:06:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:07:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:08:00+00:00,,90,91,0,,,,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:09:00+00:00,92.0,91,92,245,91.0,92.0,91.0,90,91,90,91,92,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:26:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:36:00+00:00,,90,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:50:00+00:00,92.0,91,92,1,92.0,92.0,92.0,90,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:51:00+00:00,92.0,91,92,1,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:53:00+00:00,92.0,91,92,2,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:57:00+00:00,92.0,91,92,1,92.0,92.0,92.0,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-09 23:59:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:04:00+00:00,,90,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:11:00+00:00,92.0,91,92,5,92.0,92.0,92.0,90,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:16:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:17:00+00:00,91.0,90,91,5,91.0,91.0,91.0,91,91,90,92,92,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:21:00+00:00,91.0,90,91,109,91.0,91.0,91.0,90,90,90,91,91,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:23:00+00:00,91.0,90,92,386,91.0,91.0,91.0,90,90,90,91,92,91,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:24:00+00:00,92.0,91,92,1367,92.0,92.0,92.0,90,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:28:00+00:00,92.0,91,92,3,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:30:00+00:00,92.0,91,92,1,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:32:00+00:00,92.0,91,92,20,92.0,92.0,92.0,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:33:00+00:00,,91,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:34:00+00:00,92.0,91,92,541,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:35:00+00:00,92.0,91,92,1,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:36:00+00:00,92.0,91,92,27,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:37:00+00:00,,90,92,0,,,,91,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:38:00+00:00,,90,92,0,,,,90,90,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:39:00+00:00,90.0,90,92,8,90.0,90.0,90.0,90,90,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:41:00+00:00,92.0,90,92,3000,92.0,92.0,92.0,90,90,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:42:00+00:00,,91,92,0,,,,90,91,90,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:44:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:45:00+00:00,92.0,91,92,25,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:48:00+00:00,92.0,91,92,20,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:50:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:51:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:52:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:53:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:54:00+00:00,92.0,91,92,200,92.0,92.0,92.0,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:55:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:56:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:57:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:58:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 00:59:00+00:00,,91,92,0,,,,91,91,91,92,92,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 01:00:00+00:00,92.0,92,93,448,92.0,92.0,92.0,91,92,91,92,93,92,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 01:01:00+00:00,93.0,92,93,4644,93.0,93.0,93.0,92,92,91,93,94,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 01:02:00+00:00,93.0,92,93,50,93.0,93.0,93.0,92,92,92,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 01:03:00+00:00,,92,93,0,,,,92,92,92,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
2025-11-10 01:04:00+00:00,,92,93,0,,,,92,92,92,93,93,93,,KXATPMATCH-25NOV10SINAUG-SIN
