datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-10 16:16:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:39:00+00:00,75.0,25,75,26,75.0,75.0,75.0,25,25,25,100,100,75,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:41:00+00:00,75.0,25,75,40,75.0,75.0,75.0,25,25,25,75,75,75,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:44:00+00:00,75.0,25,94,101,75.0,75.0,75.0,25,25,25,75,95,75,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:45:00+00:00,93.0,72,94,1,93.0,93.0,93.0,25,93,25,94,94,94,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:46:00+00:00,,73,94,0,,,,72,73,72,94,94,94,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:47:00+00:00,,73,89,0,,,,73,73,73,94,94,89,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:49:00+00:00,89.0,73,89,3,89.0,89.0,89.0,73,73,73,89,90,89,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:51:00+00:00,,73,86,0,,,,73,73,73,89,89,86,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:52:00+00:00,,73,84,0,,,,73,73,73,86,86,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:54:00+00:00,,76,84,0,,,,73,76,73,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:56:00+00:00,,76,84,0,,,,76,76,76,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:58:00+00:00,85.0,80,84,117,84.0,85.0,84.0,76,80,76,84,85,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 16:59:00+00:00,84.0,80,84,20,84.0,84.0,84.0,80,80,80,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 17:00:00+00:00,,80,84,0,,,,80,80,80,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 17:01:00+00:00,,80,84,0,,,,80,80,80,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
2025-11-10 17:02:00+00:00,,80,84,0,,,,80,80,80,84,84,84,,KXATPMATCH-25NOV11ALCFRI-ALC
