datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-10 16:16:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:27:00+00:00,,25,26,0,,,,25,25,25,100,100,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:32:00+00:00,,25,26,0,,,,25,25,25,26,26,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:33:00+00:00,,25,26,0,,,,25,25,25,26,26,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:39:00+00:00,,25,26,0,,,,25,25,25,26,26,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:45:00+00:00,25.0,25,26,1,25.0,25.0,25.0,25,25,25,26,26,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:47:00+00:00,,25,26,0,,,,25,25,25,26,26,26,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:49:00+00:00,25.0,24,25,3,25.0,25.0,25.0,25,25,24,26,26,25,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:54:00+00:00,24.0,23,24,4,24.0,24.0,24.0,24,24,23,25,25,24,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 16:58:00+00:00,18.0,17,21,27,23.0,23.0,18.0,23,23,17,24,24,21,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 17:00:00+00:00,21.0,17,21,90,21.0,21.0,21.0,17,17,17,21,21,21,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 17:02:00+00:00,,18,21,0,,,,17,18,17,21,21,21,,KXATPMATCH-25NOV11ALCFRI-FRI
2025-11-10 17:03:00+00:00,,18,21,0,,,,18,18,18,21,21,21,,KXATPMATCH-25NOV11ALCFRI-FRI
