datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-10 19:36:00+00:00,,66,73,0,,,,4,66,4,100,100,73,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 19:37:00+00:00,,67,74,0,,,,66,67,66,73,74,73,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 19:40:00+00:00,,66,73,0,,,,67,67,66,74,74,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 19:42:00+00:00,,68,72,0,,,,66,68,66,73,73,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 19:53:00+00:00,,68,71,0,,,,68,68,68,72,72,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:00:00+00:00,,68,71,0,,,,68,68,68,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:16:00+00:00,,68,71,0,,,,68,68,68,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:17:00+00:00,,69,70,0,,,,68,69,68,71,71,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:18:00+00:00,,69,70,0,,,,69,69,68,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:29:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:34:00+00:00,,69,70,0,,,,69,69,68,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:38:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:48:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:58:00+00:00,,70,71,0,,,,69,70,69,70,72,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 20:59:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:01:00+00:00,71.0,70,71,69,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:12:00+00:00,71.0,70,71,8,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:17:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:19:00+00:00,,69,70,0,,,,70,70,69,71,71,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:22:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:24:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:25:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:26:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:27:00+00:00,70.0,68,70,34,70.0,70.0,70.0,69,69,68,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:28:00+00:00,,68,69,0,,,,68,68,68,70,70,69,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:29:00+00:00,,68,69,0,,,,68,68,68,69,69,69,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:31:00+00:00,,69,70,0,,,,68,69,68,69,70,69,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:32:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:34:00+00:00,70.0,69,70,4,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:37:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:40:00+00:00,,69,70,0,,,,69,69,68,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:42:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:43:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:44:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:45:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:46:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:48:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:50:00+00:00,70.0,69,70,1,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:52:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:56:00+00:00,70.0,69,70,1,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 21:58:00+00:00,70.0,69,70,10,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:01:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:04:00+00:00,70.0,69,70,15,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:07:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:10:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:11:00+00:00,70.0,69,70,5,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:12:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:15:00+00:00,70.0,69,70,50,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:17:00+00:00,70.0,69,70,1,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:19:00+00:00,70.0,69,70,10,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:21:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:22:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:23:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:24:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:26:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:28:00+00:00,70.0,69,70,100,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:29:00+00:00,70.0,69,70,10,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:30:00+00:00,70.0,69,70,420,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:32:00+00:00,70.0,69,70,5,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:36:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:37:00+00:00,70.0,69,70,133,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:38:00+00:00,70.0,69,70,25,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:39:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:40:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:41:00+00:00,,69,70,0,,,,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:42:00+00:00,70.0,69,70,5,70.0,70.0,70.0,69,69,69,70,70,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:43:00+00:00,70.0,69,71,1738,70.0,70.0,70.0,69,69,69,70,71,70,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:46:00+00:00,,69,71,0,,,,69,69,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:47:00+00:00,71.0,69,71,20,71.0,71.0,71.0,69,69,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:48:00+00:00,,69,71,0,,,,69,69,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:50:00+00:00,71.0,69,71,500,71.0,71.0,71.0,69,69,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:52:00+00:00,71.0,70,71,2,71.0,71.0,71.0,69,70,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:55:00+00:00,71.0,70,71,3,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:56:00+00:00,71.0,70,71,6,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:57:00+00:00,71.0,70,71,2000,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 22:59:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:00:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:01:00+00:00,,70,71,0,,,,70,70,69,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:02:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:05:00+00:00,71.0,70,71,10,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:13:00+00:00,71.0,70,71,1,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:14:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:15:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:17:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:18:00+00:00,71.0,70,71,138,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:20:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:21:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:22:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:25:00+00:00,71.0,70,71,1,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:26:00+00:00,71.0,70,71,119,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:28:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:31:00+00:00,71.0,70,71,1,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:32:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:33:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:34:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:35:00+00:00,71.0,70,71,1,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:36:00+00:00,71.0,70,71,13,71.0,71.0,71.0,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:37:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:38:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:39:00+00:00,,70,71,0,,,,70,70,70,71,71,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:40:00+00:00,71.0,71,72,9,71.0,71.0,71.0,70,71,70,71,72,71,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:41:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:42:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:43:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:45:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:48:00+00:00,72.0,71,72,501,71.0,72.0,71.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:49:00+00:00,72.0,71,72,25,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:51:00+00:00,72.0,71,72,500,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:52:00+00:00,72.0,71,72,10,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:54:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:55:00+00:00,72.0,71,72,4,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:57:00+00:00,72.0,71,72,136,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:58:00+00:00,72.0,71,72,1,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-10 23:59:00+00:00,71.0,71,72,9,71.0,71.0,71.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:00:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:01:00+00:00,72.0,71,72,30,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:02:00+00:00,72.0,71,72,1,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:03:00+00:00,72.0,71,72,1,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:06:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:07:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:08:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:10:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:12:00+00:00,72.0,71,72,5,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:14:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:18:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:20:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:27:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:35:00+00:00,72.0,71,72,50,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:45:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:48:00+00:00,72.0,71,72,34,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:50:00+00:00,72.0,71,72,2,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:51:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:52:00+00:00,,71,72,0,,,,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
2025-11-11 00:58:00+00:00,72.0,71,72,1,72.0,72.0,72.0,71,71,71,72,72,72,,KXATPMATCH-25NOV11MUSDE-DE
