datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-10 19:36:00+00:00,,27,34,0,,,,4,27,4,100,100,34,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:37:00+00:00,,26,33,0,,,,27,27,26,34,34,33,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:40:00+00:00,,27,34,0,,,,26,27,26,33,34,33,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:42:00+00:00,,28,32,0,,,,27,28,27,34,34,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:47:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:51:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:53:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:57:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 19:59:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:03:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:14:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:16:00+00:00,,28,32,0,,,,28,28,28,32,32,32,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:17:00+00:00,,30,31,0,,,,28,30,28,32,32,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:18:00+00:00,31.0,30,31,30,31.0,31.0,31.0,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:19:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:20:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:21:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:25:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:29:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:31:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:32:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:34:00+00:00,31.0,30,31,58,31.0,31.0,31.0,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:42:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:49:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:51:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
2025-11-10 20:52:00+00:00,,30,31,0,,,,30,30,30,31,31,31,,KXATPMATCH-25NOV11MUSDE-MUS
