datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-27 13:11:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 13:30:00+00:00,,25,98,0,,,,25,25,25,100,100,98,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 13:44:00+00:00,,25,69,0,,,,25,25,25,98,98,69,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 13:53:00+00:00,,25,69,0,,,,25,25,25,69,69,69,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:14:00+00:00,,25,68,0,,,,25,25,25,69,69,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:15:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:16:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:17:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:18:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:19:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:20:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:21:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:22:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:23:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:24:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:25:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:26:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:27:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:28:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:29:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:30:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:31:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:32:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:33:00+00:00,,25,68,0,,,,25,25,25,68,69,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:34:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:35:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:36:00+00:00,,25,68,0,,,,25,25,25,68,69,68,,KXATPMATCH-25OCT28ALCNOR-NOR
2025-10-27 14:37:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXATPMATCH-25OCT28ALCNOR-NOR
