datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-30 22:21:00+00:00,,4,100,0,,,,4,4,4,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 22:22:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 22:24:00+00:00,,40,100,0,,,,25,40,25,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 22:28:00+00:00,,40,100,0,,,,40,40,40,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 22:35:00+00:00,,40,100,0,,,,40,40,40,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 22:49:00+00:00,,47,100,0,,,,40,47,40,100,100,100,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 23:19:00+00:00,,48,69,0,,,,47,48,47,100,100,69,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 23:20:00+00:00,,48,68,0,,,,48,48,48,69,69,68,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 23:36:00+00:00,,50,68,0,,,,48,50,48,68,68,68,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 23:37:00+00:00,,50,67,0,,,,50,50,50,68,68,67,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-30 23:51:00+00:00,,50,67,0,,,,50,50,50,67,68,67,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-31 00:01:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-31 00:09:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-31 00:13:00+00:00,,50,51,0,,,,50,50,50,67,67,51,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-31 00:14:00+00:00,,50,51,0,,,,50,50,50,51,51,51,,KXATPMATCH-25OCT31MEDZVE-MED
2025-10-31 00:16:00+00:00,,50,51,0,,,,50,50,50,51,51,51,,KXATPMATCH-25OCT31MEDZVE-MED
