datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-30 22:21:00+00:00,,4,100,0,,,,4,4,4,100,100,100,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:22:00+00:00,,25,100,0,,,,4,25,4,100,100,100,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:24:00+00:00,,25,60,0,,,,25,25,25,100,100,60,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:27:00+00:00,,25,50,0,,,,25,25,25,60,60,50,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:28:00+00:00,,25,50,0,,,,25,25,25,50,50,50,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:35:00+00:00,,25,50,0,,,,25,25,25,50,50,50,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:49:00+00:00,,25,48,0,,,,25,25,25,50,50,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 22:50:00+00:00,,25,48,0,,,,25,25,25,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:02:00+00:00,,25,47,0,,,,25,25,25,48,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:11:00+00:00,,25,47,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:19:00+00:00,,25,47,0,,,,25,25,25,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:22:00+00:00,47.0,25,47,4,47.0,47.0,47.0,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:24:00+00:00,,25,47,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:34:00+00:00,,25,47,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:35:00+00:00,,25,47,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:37:00+00:00,,25,47,0,,,,25,25,25,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:41:00+00:00,,25,48,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:42:00+00:00,,25,47,0,,,,25,25,25,48,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:50:00+00:00,,25,47,0,,,,25,25,25,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-30 23:51:00+00:00,,25,47,0,,,,25,25,25,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:01:00+00:00,,25,47,0,,,,25,25,25,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:05:00+00:00,,26,47,0,,,,25,26,25,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:09:00+00:00,,26,47,0,,,,26,26,26,47,47,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:13:00+00:00,,26,48,0,,,,26,26,26,47,48,47,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:14:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:15:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:16:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:17:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:18:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:19:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:20:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:21:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:22:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:23:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:24:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
2025-10-31 00:25:00+00:00,,26,48,0,,,,26,26,26,48,48,48,,KXATPMATCH-25OCT31MEDZVE-ZVE
