datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-29 20:07:00+00:00,,39,44,0,,,,39,39,39,100,100,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 20:09:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 20:10:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 20:23:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 21:19:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 21:26:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 21:32:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 21:36:00+00:00,44.0,39,44,15,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 22:19:00+00:00,44.0,39,44,8,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 22:35:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 22:40:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 23:01:00+00:00,44.0,39,44,10,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 23:43:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-29 23:50:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 00:53:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 01:01:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:04:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:13:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:42:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:43:00+00:00,44.0,39,44,50,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:54:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 02:59:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:00:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:09:00+00:00,,39,43,0,,,,39,39,39,44,44,43,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:16:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:20:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:32:00+00:00,,39,43,0,,,,39,39,39,43,43,43,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:33:00+00:00,,39,44,0,,,,39,39,39,43,44,43,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 03:42:00+00:00,44.0,39,44,17,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 04:17:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 04:19:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 04:20:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 04:51:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 05:18:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 05:23:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 05:38:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 05:54:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 06:01:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 06:07:00+00:00,44.0,39,44,6,44.0,44.0,44.0,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 06:20:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 06:38:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 07:10:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 07:23:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 07:43:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 08:14:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 08:26:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 08:45:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 09:17:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 09:29:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 09:43:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 09:49:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 10:21:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
2025-09-30 10:32:00+00:00,,39,44,0,,,,39,39,39,44,44,44,,KXMLBGAME-25OCT01BOSNYY-BOS
