datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-29 20:07:00+00:00,,56,61,0,,,,56,56,56,100,100,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 20:09:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 20:10:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 20:23:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 21:19:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 21:26:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 21:32:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 22:06:00+00:00,61.0,56,61,7,61.0,61.0,61.0,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 22:35:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 22:37:00+00:00,61.0,56,61,239,61.0,61.0,61.0,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 22:40:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 23:43:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-29 23:50:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 00:53:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 01:01:00+00:00,61.0,56,61,3,61.0,61.0,61.0,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 01:21:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:04:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:13:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:42:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:45:00+00:00,61.0,56,61,116,61.0,61.0,61.0,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:46:00+00:00,56.0,56,61,116,56.0,56.0,56.0,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:54:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 02:59:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
2025-09-30 03:00:00+00:00,,56,61,0,,,,56,56,56,61,61,61,,KXMLBGAME-25OCT01BOSNYY-NYY
