datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-29 20:07:00+00:00,,63,69,0,,,,63,63,63,100,100,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 20:09:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 20:10:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 20:23:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:18:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:19:00+00:00,69.0,63,69,7,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:26:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:31:00+00:00,69.0,63,69,21,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:32:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 21:37:00+00:00,69.0,63,69,141,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 22:35:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 22:40:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 23:14:00+00:00,69.0,63,69,4,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 23:35:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 23:43:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 23:49:00+00:00,69.0,63,69,319,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-29 23:50:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-30 00:53:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-30 01:01:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-30 01:17:00+00:00,69.0,63,69,15,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-30 02:02:00+00:00,69.0,63,69,28,69.0,69.0,69.0,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
2025-09-30 02:04:00+00:00,,63,69,0,,,,63,63,63,69,69,69,,KXMLBGAME-25OCT01CINLAD-LAD
