datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-02 15:06:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:07:00+00:00,,43,49,0,,,,17,43,17,73,73,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:11:00+00:00,49.0,43,49,19,49.0,49.0,49.0,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:13:00+00:00,,43,49,0,,,,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:14:00+00:00,49.0,43,49,39,49.0,49.0,49.0,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:15:00+00:00,49.0,43,49,19,49.0,49.0,49.0,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:16:00+00:00,,43,49,0,,,,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:19:00+00:00,,43,49,0,,,,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:21:00+00:00,49.0,43,49,200,49.0,49.0,49.0,43,43,43,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:24:00+00:00,48.0,43,48,60,48.0,48.0,48.0,43,43,43,49,49,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:28:00+00:00,,45,48,0,,,,43,45,43,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:37:00+00:00,49.0,45,49,50,48.0,49.0,48.0,45,45,45,48,49,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:39:00+00:00,,45,49,0,,,,45,45,45,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:40:00+00:00,49.0,45,49,7,49.0,49.0,49.0,45,45,45,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:41:00+00:00,49.0,45,49,1,49.0,49.0,49.0,45,45,45,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:46:00+00:00,,45,49,0,,,,45,45,45,49,49,49,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:47:00+00:00,48.0,45,48,40,48.0,48.0,48.0,45,45,45,49,49,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:49:00+00:00,48.0,45,48,8,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:50:00+00:00,48.0,45,48,10,48.0,48.0,48.0,45,45,45,48,49,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:52:00+00:00,48.0,45,48,17,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:54:00+00:00,48.0,45,48,30,48.0,48.0,48.0,45,45,45,48,49,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:56:00+00:00,48.0,45,48,10,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 15:59:00+00:00,48.0,45,48,20,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:02:00+00:00,,45,47,0,,,,45,45,45,48,48,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:03:00+00:00,,45,48,0,,,,45,45,45,47,48,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:04:00+00:00,48.0,45,48,2,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:07:00+00:00,48.0,45,48,20,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:08:00+00:00,48.0,45,48,20,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:09:00+00:00,,45,48,0,,,,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:10:00+00:00,48.0,45,48,10,48.0,48.0,48.0,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:11:00+00:00,,45,48,0,,,,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:13:00+00:00,,45,48,0,,,,45,45,45,48,48,48,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:14:00+00:00,,45,47,0,,,,45,45,45,48,48,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:15:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:16:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:20:00+00:00,47.0,45,47,199,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:21:00+00:00,47.0,45,47,26,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:22:00+00:00,47.0,45,47,4,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:23:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:25:00+00:00,47.0,45,47,102,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:28:00+00:00,47.0,45,47,41,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:31:00+00:00,47.0,45,47,2,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:34:00+00:00,47.0,45,47,7,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:35:00+00:00,47.0,45,47,13,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:36:00+00:00,47.0,45,47,76,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:37:00+00:00,47.0,45,47,10,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:39:00+00:00,47.0,45,47,10,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:40:00+00:00,47.0,45,47,10,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:43:00+00:00,47.0,45,47,20,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:47:00+00:00,47.0,45,47,82,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:51:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:52:00+00:00,47.0,45,47,1,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:53:00+00:00,47.0,45,47,201,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:54:00+00:00,47.0,45,47,20,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:55:00+00:00,47.0,45,47,20,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:57:00+00:00,47.0,45,47,512,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 16:59:00+00:00,47.0,45,47,112,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:00:00+00:00,47.0,45,47,358,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:02:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:04:00+00:00,47.0,45,47,8,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:05:00+00:00,47.0,45,47,1,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:06:00+00:00,47.0,45,47,158,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:10:00+00:00,47.0,45,47,49,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:11:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:12:00+00:00,47.0,45,47,251,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:18:00+00:00,45.0,45,47,29,45.0,45.0,45.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:19:00+00:00,47.0,45,47,843,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:21:00+00:00,47.0,45,47,20,47.0,47.0,47.0,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
2025-10-02 17:26:00+00:00,,45,47,0,,,,45,45,45,47,47,47,,KXMLBGAME-25OCT04LADPHI-LAD
