datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 03:18:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:19:00+00:00,,33,72,0,,,,17,33,17,73,73,72,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:20:00+00:00,,17,73,0,,,,33,33,17,72,73,72,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:22:00+00:00,,33,72,0,,,,17,33,17,73,73,72,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:23:00+00:00,72.0,33,72,5,72.0,72.0,72.0,33,72,33,72,73,72,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:24:00+00:00,33.0,17,33,9,33.0,33.0,33.0,33,33,17,72,73,33,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:25:00+00:00,,17,33,0,,,,17,17,17,33,33,33,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 03:46:00+00:00,33.0,17,33,14,33.0,33.0,33.0,17,17,17,33,33,33,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 04:05:00+00:00,,32,33,0,,,,17,32,17,33,33,33,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 04:11:00+00:00,33.0,35,67,2,33.0,33.0,33.0,32,35,32,33,67,33,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 04:26:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 04:47:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 05:50:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 06:10:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 07:04:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 07:13:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 08:16:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 09:19:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 10:22:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 11:25:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 12:28:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 12:29:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 12:36:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 13:12:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 13:24:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 13:32:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 13:34:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 13:50:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 14:29:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 14:37:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 14:45:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:09:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:42:00+00:00,,36,67,0,,,,35,36,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:43:00+00:00,,35,67,0,,,,36,36,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:47:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:48:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 15:53:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 16:27:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 16:56:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 16:58:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 17:07:00+00:00,,35,67,0,,,,35,35,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 17:23:00+00:00,,50,67,0,,,,35,50,35,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 17:47:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 18:01:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 18:02:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 18:27:00+00:00,,50,67,0,,,,50,50,50,67,67,67,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:05:00+00:00,,50,66,0,,,,50,50,50,67,67,66,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:07:00+00:00,,50,66,0,,,,50,50,50,66,66,66,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:12:00+00:00,,50,66,0,,,,50,50,50,66,66,66,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:29:00+00:00,,50,63,0,,,,50,50,50,66,66,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:30:00+00:00,,50,63,0,,,,50,50,50,63,65,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:34:00+00:00,,50,63,0,,,,50,50,50,63,64,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:35:00+00:00,,50,63,0,,,,50,50,50,63,64,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 19:50:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 20:15:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 20:19:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 20:26:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 20:59:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:15:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:20:00+00:00,,50,66,0,,,,50,50,50,63,67,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:21:00+00:00,,50,64,0,,,,50,50,50,66,66,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:22:00+00:00,,50,63,0,,,,50,50,50,64,66,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:29:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:39:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 21:44:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 22:08:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 22:18:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 22:27:00+00:00,50.0,50,63,1,50.0,50.0,50.0,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 22:47:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 23:07:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-03 23:46:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-04 00:10:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
2025-10-04 00:27:00+00:00,,50,63,0,,,,50,50,50,63,63,63,,KXMLBGAME-25OCT07TORNYY-NYY
