datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-03 03:18:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:19:00+00:00,,33,72,0,,,,17,33,17,73,73,72,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:20:00+00:00,,17,73,0,,,,33,33,17,72,73,72,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:22:00+00:00,,33,72,0,,,,17,33,17,73,73,72,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:23:00+00:00,33.0,33,72,6,33.0,33.0,33.0,33,33,33,72,73,72,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:24:00+00:00,,17,73,0,,,,33,33,17,72,73,72,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:44:00+00:00,,33,73,0,,,,17,33,17,73,73,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:45:00+00:00,,33,73,0,,,,33,33,33,73,73,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:53:00+00:00,,33,73,0,,,,33,33,17,73,73,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:54:00+00:00,,17,73,0,,,,33,33,17,73,73,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:55:00+00:00,,33,73,0,,,,17,33,17,73,73,73,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 03:59:00+00:00,,33,67,0,,,,33,33,33,73,73,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:00:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:02:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:03:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:26:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:27:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 04:47:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 05:23:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 05:50:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 05:57:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 06:10:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 07:13:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 08:16:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 08:23:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 08:24:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 09:19:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 10:22:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 11:25:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 12:28:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 12:29:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 12:36:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 13:12:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 13:24:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 13:32:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 13:34:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 13:50:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 14:29:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 14:37:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 14:45:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 15:09:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 15:47:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 15:48:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 15:53:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 16:24:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 16:26:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 16:27:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 16:56:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 16:58:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 17:07:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 17:47:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 18:01:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
2025-10-03 18:02:00+00:00,,33,67,0,,,,33,33,33,67,67,67,,KXMLBGAME-25OCT08MILCHC-MIL
