datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-07 20:06:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:07:00+00:00,,38,67,0,,,,17,38,17,73,73,67,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:09:00+00:00,,38,67,0,,,,38,38,38,67,67,67,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:33:00+00:00,,47,54,0,,,,38,47,38,67,67,54,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:44:00+00:00,,48,54,0,,,,47,48,47,54,54,54,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:48:00+00:00,54.0,48,54,3,54.0,54.0,54.0,48,48,48,54,54,54,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 20:52:00+00:00,,48,54,0,,,,48,48,48,54,54,54,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:12:00+00:00,,48,55,0,,,,48,48,48,54,67,54,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:31:00+00:00,55.0,48,55,100,55.0,55.0,55.0,48,48,48,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:33:00+00:00,55.0,48,55,2,55.0,55.0,55.0,48,48,48,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:47:00+00:00,,48,55,0,,,,48,48,48,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:51:00+00:00,55.0,49,55,100,55.0,55.0,55.0,48,49,48,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:55:00+00:00,,49,55,0,,,,49,49,49,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:56:00+00:00,,49,55,0,,,,49,49,49,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:58:00+00:00,,49,55,0,,,,49,49,48,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 21:59:00+00:00,,49,55,0,,,,49,49,49,55,55,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 22:00:00+00:00,55.0,49,56,3,55.0,55.0,55.0,49,49,49,55,67,55,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 22:04:00+00:00,56.0,49,56,8,56.0,56.0,56.0,49,49,49,56,56,56,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 22:08:00+00:00,,49,56,0,,,,49,49,49,56,56,56,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 22:09:00+00:00,,49,56,0,,,,49,50,49,56,56,56,,KXMLBGAME-25OCT08SEADET-SEA
2025-10-07 22:11:00+00:00,56.0,49,56,130,56.0,56.0,56.0,49,49,49,56,56,56,,KXMLBGAME-25OCT08SEADET-SEA
