datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-08 05:51:00+00:00,,17,50,0,,,,0,17,0,50,50,50,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:52:00+00:00,,20,50,0,,,,17,20,17,50,50,50,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:53:00+00:00,50.0,20,50,28,50.0,50.0,50.0,20,20,20,50,50,50,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:54:00+00:00,,26,47,0,,,,20,26,20,50,50,47,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:55:00+00:00,,27,46,0,,,,26,27,26,47,47,46,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:56:00+00:00,,27,41,0,,,,27,27,27,46,46,41,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:57:00+00:00,,27,45,0,,,,27,27,27,41,45,40,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:58:00+00:00,,27,39,0,,,,27,27,27,45,45,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 05:59:00+00:00,,28,39,0,,,,27,28,27,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:02:00+00:00,,36,39,0,,,,28,36,28,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:03:00+00:00,39.0,36,39,2,39.0,39.0,39.0,36,36,36,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:07:00+00:00,39.0,36,39,37,39.0,39.0,39.0,36,37,36,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:08:00+00:00,,36,39,0,,,,36,37,36,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:10:00+00:00,39.0,36,39,122,39.0,39.0,39.0,36,36,36,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:11:00+00:00,,33,39,0,,,,36,36,28,39,39,39,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:14:00+00:00,,33,38,0,,,,33,33,33,39,39,38,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:16:00+00:00,38.0,33,38,2,38.0,38.0,38.0,33,33,33,38,38,38,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:18:00+00:00,38.0,33,38,63,38.0,38.0,38.0,33,33,33,38,38,38,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:20:00+00:00,,33,38,0,,,,33,33,33,38,38,38,,KXMLBGAME-25OCT08TORNYY-TOR
2025-10-08 06:23:00+00:00,38.0,33,38,20,38.0,38.0,38.0,33,33,33,38,38,38,,KXMLBGAME-25OCT08TORNYY-TOR
