datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-12 13:57:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 14:08:00+00:00,,17,73,0,,,,17,17,17,73,73,73,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 15:11:00+00:00,,17,73,0,,,,17,17,17,73,73,73,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 15:15:00+00:00,,17,73,0,,,,17,17,17,73,73,73,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 15:19:00+00:00,,48,60,0,,,,17,48,17,73,73,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 16:03:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 16:07:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 16:18:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 16:24:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 16:58:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:16:00+00:00,60.0,48,60,1,60.0,60.0,60.0,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:25:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:27:00+00:00,,49,59,0,,,,49,49,49,59,59,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:30:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:31:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:32:00+00:00,,49,59,0,,,,49,49,49,59,59,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:36:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:37:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:42:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:43:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:48:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:49:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:54:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 17:55:00+00:00,,49,59,0,,,,48,49,48,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 18:00:00+00:00,,48,60,0,,,,49,49,48,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 18:01:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 18:35:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 18:39:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:01:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:16:00+00:00,60.0,48,60,32,60.0,60.0,60.0,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:24:00+00:00,60.0,48,60,79,60.0,60.0,60.0,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:25:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:32:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:42:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:46:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:49:00+00:00,60.0,48,60,8,60.0,60.0,60.0,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 19:51:00+00:00,60.0,48,60,16,60.0,60.0,60.0,48,48,48,60,67,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 20:49:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 20:51:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 20:53:00+00:00,,48,60,0,,,,48,48,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 21:13:00+00:00,,49,60,0,,,,48,49,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 21:25:00+00:00,,49,60,0,,,,49,50,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 21:56:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 22:06:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 22:23:00+00:00,,49,59,0,,,,49,49,49,60,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 22:38:00+00:00,,49,59,0,,,,49,51,48,59,59,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 22:56:00+00:00,,49,60,0,,,,49,49,49,59,60,59,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 22:59:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 23:00:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 23:19:00+00:00,,49,60,0,,,,49,50,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-12 23:40:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:00:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:03:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:04:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:05:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:44:00+00:00,60.0,49,60,16,60.0,60.0,60.0,49,49,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 00:45:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 01:07:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 01:39:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 02:10:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 02:13:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 02:32:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 02:45:00+00:00,60.0,49,60,1,60.0,60.0,60.0,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 02:47:00+00:00,60.0,49,60,48,60.0,60.0,60.0,49,49,48,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 03:13:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 03:20:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 03:34:00+00:00,60.0,49,60,12,60.0,60.0,60.0,49,49,49,60,67,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 03:50:00+00:00,60.0,49,60,20,60.0,60.0,60.0,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 03:57:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 04:09:00+00:00,60.0,49,60,24,60.0,60.0,60.0,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 04:16:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
2025-10-13 04:48:00+00:00,,49,60,0,,,,49,49,49,60,60,60,,KXMLBGAME-25OCT14LADMIL-LAD
