datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-11 19:12:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 19:15:00+00:00,,25,73,0,,,,17,25,17,73,73,73,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 19:51:00+00:00,,42,52,0,,,,25,42,25,73,73,52,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 19:52:00+00:00,52.0,42,52,9,52.0,52.0,52.0,42,42,42,52,52,52,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 19:55:00+00:00,,42,52,0,,,,42,42,42,52,52,52,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:02:00+00:00,,43,51,0,,,,42,43,42,52,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:08:00+00:00,,42,52,0,,,,43,43,42,51,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:09:00+00:00,,43,51,0,,,,42,43,42,52,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:15:00+00:00,,43,51,0,,,,43,43,42,51,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:18:00+00:00,,43,51,0,,,,43,43,43,51,51,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:21:00+00:00,,43,51,0,,,,43,43,42,51,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:26:00+00:00,,44,51,0,,,,43,44,43,51,51,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 20:27:00+00:00,,44,52,0,,,,44,44,44,51,52,51,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 21:03:00+00:00,53.0,44,52,7,52.0,53.0,52.0,44,44,44,52,73,52,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 21:06:00+00:00,,44,53,0,,,,44,44,44,52,53,52,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 21:21:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 21:25:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:28:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:34:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:39:00+00:00,53.0,44,53,91,53.0,53.0,53.0,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:45:00+00:00,53.0,44,53,3,53.0,53.0,53.0,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:46:00+00:00,53.0,44,53,3,53.0,53.0,53.0,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:47:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 22:48:00+00:00,44.0,44,53,2,44.0,44.0,44.0,44,44,44,53,53,45,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 23:37:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-11 23:43:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 00:42:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 00:46:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 00:51:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:42:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:49:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:50:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:51:00+00:00,53.0,44,53,5,44.0,53.0,44.0,44,44,44,53,53,46,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:53:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:54:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 01:59:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:21:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:29:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:31:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:32:00+00:00,44.0,44,53,2,44.0,44.0,44.0,44,44,44,53,53,47,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:33:00+00:00,53.0,44,53,3,53.0,53.0,53.0,44,44,44,53,67,53,,KXMLBGAME-25OCT15TORSEA-SEA
2025-10-12 02:39:00+00:00,,44,53,0,,,,44,44,44,53,53,53,,KXMLBGAME-25OCT15TORSEA-SEA
