datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-11 19:12:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 19:15:00+00:00,,25,73,0,,,,17,25,17,73,73,73,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 19:51:00+00:00,,46,56,0,,,,25,46,25,73,73,56,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 20:18:00+00:00,,46,56,0,,,,46,46,46,56,56,56,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 20:22:00+00:00,,46,55,0,,,,46,46,46,56,56,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 21:03:00+00:00,,46,55,0,,,,46,46,25,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 21:06:00+00:00,,45,55,0,,,,46,46,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 21:21:00+00:00,,45,55,0,,,,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 21:25:00+00:00,,45,55,0,,,,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 22:28:00+00:00,,45,55,0,,,,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 22:34:00+00:00,,45,55,0,,,,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:19:00+00:00,55.0,45,55,1,55.0,55.0,55.0,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:22:00+00:00,55.0,45,55,1,55.0,55.0,55.0,45,45,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:25:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:31:00+00:00,,46,54,0,,,,46,46,45,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:36:00+00:00,,45,55,0,,,,46,46,45,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:37:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:42:00+00:00,,45,55,0,,,,46,46,45,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:43:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:48:00+00:00,,45,55,0,,,,46,46,45,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:49:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:54:00+00:00,,45,55,0,,,,46,46,45,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:55:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-11 23:58:00+00:00,55.0,46,55,8,54.0,55.0,54.0,46,46,46,54,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-12 00:00:00+00:00,,45,55,0,,,,46,46,45,55,55,55,,KXMLBGAME-25OCT15TORSEA-TOR
2025-10-12 00:01:00+00:00,,46,54,0,,,,45,46,45,55,55,54,,KXMLBGAME-25OCT15TORSEA-TOR
