datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-21 05:14:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:16:00+00:00,,1,99,0,,,,1,1,1,99,99,99,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:17:00+00:00,,17,73,0,,,,1,17,1,99,99,73,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:24:00+00:00,,17,72,0,,,,17,17,17,73,73,72,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:28:00+00:00,,17,71,0,,,,17,17,17,72,72,71,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:29:00+00:00,,17,71,0,,,,17,17,17,71,71,71,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 05:33:00+00:00,,17,70,0,,,,17,17,17,71,71,70,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:16:00+00:00,,20,70,0,,,,17,20,17,70,70,70,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:23:00+00:00,,20,73,0,,,,20,20,20,70,73,70,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:24:00+00:00,,20,73,0,,,,20,20,20,73,73,73,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:25:00+00:00,,20,72,0,,,,20,20,20,73,73,72,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:32:00+00:00,,20,72,0,,,,20,20,20,72,72,72,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 06:58:00+00:00,,20,67,0,,,,20,20,20,72,72,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 07:34:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:37:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:41:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:44:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:48:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:49:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:50:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:51:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:53:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:57:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:58:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 08:59:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:01:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:02:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:03:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:07:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:08:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:10:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:12:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:13:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:15:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:16:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:20:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:23:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:25:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:27:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:28:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:29:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:33:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:36:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:39:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:40:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:41:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:42:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:46:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:49:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:52:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:56:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 09:59:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 10:03:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 10:06:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 10:09:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 10:12:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
2025-10-21 10:16:00+00:00,,20,67,0,,,,20,20,20,67,67,67,,KXMLBGAME-25OCT25LADTOR-LAD
