datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-26 16:41:00+00:00,,17,73,0,,,,0,17,0,99,99,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 16:42:00+00:00,,25,73,0,,,,17,25,17,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 16:54:00+00:00,,25,73,0,,,,25,25,25,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:27:00+00:00,73.0,25,73,20,73.0,73.0,73.0,25,25,25,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:28:00+00:00,,25,73,0,,,,25,25,25,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:29:00+00:00,,25,73,0,,,,25,25,25,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:30:00+00:00,,25,73,0,,,,25,25,25,73,73,73,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:31:00+00:00,,26,72,0,,,,25,26,25,73,73,72,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:35:00+00:00,,26,72,0,,,,26,26,26,72,72,72,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:36:00+00:00,,25,73,0,,,,26,26,25,72,73,72,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:37:00+00:00,,26,72,0,,,,25,26,25,73,73,72,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:38:00+00:00,,27,72,0,,,,26,27,26,72,72,72,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:39:00+00:00,,27,71,0,,,,27,27,27,72,72,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:42:00+00:00,,28,71,0,,,,27,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:46:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:47:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:51:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:53:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:56:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:58:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 17:59:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:03:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:07:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:08:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:09:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:12:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:14:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:18:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:19:00+00:00,,27,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:20:00+00:00,,28,71,0,,,,27,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:21:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:22:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:23:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:25:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:28:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:29:00+00:00,,28,71,0,,,,28,28,28,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:30:00+00:00,,28,71,0,,,,28,28,27,71,71,71,,KXMLBGAME-25OCT29TORLAD-LAD
2025-10-26 18:34:00+00:00,,28,70,0,,,,28,28,28,71,71,70,,KXMLBGAME-25OCT29TORLAD-LAD
