datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 03:45:00+00:00,,28,65,0,,,,1,28,1,100,100,65,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 03:46:00+00:00,,28,65,0,,,,28,28,28,65,65,65,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 03:52:00+00:00,,29,65,0,,,,28,29,28,65,65,65,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 03:53:00+00:00,,29,64,0,,,,29,29,29,65,65,64,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:05:00+00:00,,29,63,0,,,,29,29,29,64,64,63,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:06:00+00:00,,29,63,0,,,,29,29,29,63,64,63,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:07:00+00:00,,35,50,0,,,,29,35,29,63,63,50,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:08:00+00:00,,35,50,0,,,,35,35,35,50,50,50,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:42:00+00:00,50.0,35,50,12,50.0,50.0,50.0,35,35,35,50,50,50,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 04:54:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:02:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:10:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:18:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:22:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:25:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:26:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:27:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:30:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:33:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:34:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:35:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:38:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:42:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:43:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:46:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:50:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:51:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:54:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:58:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 05:59:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:02:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:05:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:06:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:07:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:10:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:13:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:14:00+00:00,,37,50,0,,,,36,37,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:18:00+00:00,,37,50,0,,,,37,37,37,50,50,50,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:20:00+00:00,,37,50,0,,,,37,37,37,50,50,50,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:22:00+00:00,,36,49,0,,,,37,37,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:24:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:27:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:29:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:30:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:33:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:34:00+00:00,50.0,36,50,11,49.0,50.0,49.0,36,36,36,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:37:00+00:00,,36,49,0,,,,36,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:41:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:44:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:45:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:52:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:56:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 06:59:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:00:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:03:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:07:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:11:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:14:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:18:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:21:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:22:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:25:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:29:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:33:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:36:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:37:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:40:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:44:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:45:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:49:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:51:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:53:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:57:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 07:59:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:00:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:04:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:06:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:08:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:12:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:13:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:14:00+00:00,,36,49,0,,,,35,36,35,50,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:15:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:19:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:21:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:22:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:26:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:27:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:28:00+00:00,,36,49,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:32:00+00:00,,36,49,0,,,,36,36,36,49,49,49,,KXMLBGAME-25OCT31LADTOR-TOR
2025-10-29 08:35:00+00:00,,35,50,0,,,,36,36,35,49,50,49,,KXMLBGAME-25OCT31LADTOR-TOR
