datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-09-29 06:57:00+00:00,,0,56,0,,,,0,0,0,56,56,56,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 06:59:00+00:00,,0,56,0,,,,0,0,0,56,56,56,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 07:00:00+00:00,,2,56,0,,,,0,2,0,56,56,56,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 07:33:00+00:00,56.0,3,55,95,56.0,56.0,56.0,2,3,2,56,56,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 07:59:00+00:00,55.0,3,55,17,55.0,55.0,55.0,3,3,3,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:01:00+00:00,,4,55,0,,,,3,6,3,55,55,54,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:02:00+00:00,55.0,4,55,35,55.0,55.0,55.0,4,5,3,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:03:00+00:00,,3,55,0,,,,4,4,3,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:04:00+00:00,,41,55,0,,,,3,41,3,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:05:00+00:00,55.0,41,55,10,55.0,55.0,55.0,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:18:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:20:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 08:26:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:06:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:08:00+00:00,55.0,41,55,17,55.0,55.0,55.0,41,42,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:11:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:16:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:23:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:41:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 09:47:00+00:00,55.0,41,55,8,55.0,55.0,55.0,41,42,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 10:34:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 10:44:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:02:00+00:00,,41,55,0,,,,41,41,41,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:08:00+00:00,55.0,41,56,10,55.0,55.0,55.0,41,41,41,55,56,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:15:00+00:00,,41,56,0,,,,41,41,41,56,56,56,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:18:00+00:00,,54,55,0,,,,41,54,41,56,56,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:20:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:21:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:23:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:29:00+00:00,55.0,54,55,8,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:31:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:43:00+00:00,55.0,54,55,8,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:45:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 11:54:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:02:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:04:00+00:00,55.0,54,55,35,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:05:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:09:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:10:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:21:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:22:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:26:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:27:00+00:00,55.0,54,55,8,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:28:00+00:00,55.0,54,55,8,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:29:00+00:00,,54,55,0,,,,54,54,54,55,56,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:30:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:35:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:36:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:38:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:45:00+00:00,55.0,54,55,8,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:46:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:47:00+00:00,55.0,54,55,100,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:48:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:49:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:53:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:58:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 12:59:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 13:01:00+00:00,55.0,54,55,44,55.0,55.0,55.0,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
2025-09-29 13:04:00+00:00,,54,55,0,,,,54,54,54,55,55,55,,KXMLBGAME-25SEP30BOSNYY-NYY
