datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 20:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 20:19:00+00:00,,13,86,0,,,,13,13,13,87,87,86,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 20:39:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 20:43:00+00:00,,25,85,0,,,,13,25,13,86,86,85,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 20:44:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 22:06:00+00:00,,25,83,0,,,,25,25,25,85,85,83,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 22:10:00+00:00,,25,83,0,,,,25,25,25,83,83,83,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 22:42:00+00:00,,27,83,0,,,,25,27,25,83,83,83,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 23:02:00+00:00,,27,83,0,,,,27,27,27,83,83,83,,KXNBAGAME-25NOV02MIALAL-LAL
2025-10-31 23:47:00+00:00,,27,83,0,,,,27,27,27,83,83,83,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 00:38:00+00:00,,27,81,0,,,,27,27,27,83,83,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 01:20:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 01:25:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 01:31:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 01:49:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:07:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:14:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:15:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:18:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:22:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:23:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:25:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:27:00+00:00,,27,81,0,,,,27,27,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:29:00+00:00,,28,81,0,,,,27,28,27,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:33:00+00:00,,29,81,0,,,,28,29,28,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:34:00+00:00,,28,81,0,,,,29,29,28,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:35:00+00:00,,28,81,0,,,,28,28,28,81,81,81,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:37:00+00:00,,29,77,0,,,,28,29,28,81,81,77,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:38:00+00:00,,29,69,0,,,,29,29,29,77,77,69,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:39:00+00:00,,29,68,0,,,,29,29,29,69,81,68,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:40:00+00:00,,29,67,0,,,,29,29,29,68,81,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:41:00+00:00,,29,65,0,,,,29,29,29,67,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:42:00+00:00,,29,73,0,,,,29,29,29,65,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:43:00+00:00,,29,71,0,,,,29,29,29,73,81,70,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:44:00+00:00,70.0,29,70,100,70.0,70.0,70.0,29,29,29,71,81,70,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:45:00+00:00,,29,69,0,,,,29,29,29,70,81,69,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:46:00+00:00,,29,68,0,,,,29,29,29,69,81,68,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:47:00+00:00,,29,66,0,,,,29,29,29,68,81,66,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:48:00+00:00,,29,65,0,,,,29,29,29,66,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:49:00+00:00,,29,73,0,,,,29,29,29,65,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:50:00+00:00,,29,71,0,,,,29,29,29,73,81,70,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:51:00+00:00,,29,69,0,,,,29,29,29,71,81,69,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:52:00+00:00,,29,68,0,,,,29,29,29,69,81,68,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:53:00+00:00,,29,66,0,,,,29,29,29,68,81,66,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:54:00+00:00,,31,73,0,,,,29,31,29,66,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:55:00+00:00,,31,72,0,,,,31,31,31,73,73,70,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:56:00+00:00,,31,70,0,,,,31,31,31,72,81,70,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:57:00+00:00,,31,69,0,,,,31,31,31,70,81,69,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:58:00+00:00,,31,67,0,,,,31,31,31,69,81,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 02:59:00+00:00,,31,67,0,,,,31,31,31,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:00:00+00:00,,32,67,0,,,,31,32,31,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:03:00+00:00,,32,67,0,,,,32,32,32,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:04:00+00:00,,32,67,0,,,,32,32,32,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:05:00+00:00,,31,67,0,,,,32,32,31,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:06:00+00:00,,32,67,0,,,,31,32,31,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:09:00+00:00,,32,67,0,,,,32,32,32,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:10:00+00:00,,32,67,0,,,,32,32,32,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:11:00+00:00,,32,67,0,,,,32,32,31,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:12:00+00:00,,33,67,0,,,,32,33,32,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:15:00+00:00,,34,65,0,,,,33,34,33,67,80,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:16:00+00:00,,34,71,0,,,,34,34,34,65,80,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:17:00+00:00,,35,69,0,,,,34,35,34,71,81,69,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:18:00+00:00,,36,66,0,,,,35,36,35,69,81,66,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:19:00+00:00,,36,65,0,,,,36,36,36,66,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:20:00+00:00,,36,69,0,,,,36,36,36,65,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:21:00+00:00,,36,67,0,,,,36,36,36,69,77,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:22:00+00:00,,36,67,0,,,,36,36,36,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:23:00+00:00,,36,67,0,,,,36,36,36,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:24:00+00:00,,37,67,0,,,,36,37,36,67,67,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:25:00+00:00,,38,65,0,,,,37,38,37,67,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:26:00+00:00,,38,76,0,,,,38,38,38,65,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:27:00+00:00,,38,70,0,,,,38,38,38,76,80,68,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:28:00+00:00,70.0,38,66,2,70.0,70.0,70.0,38,38,38,70,81,66,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:29:00+00:00,,38,67,0,,,,38,38,38,66,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:30:00+00:00,,40,68,0,,,,38,40,38,67,81,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:31:00+00:00,,40,67,0,,,,40,40,40,68,68,67,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:32:00+00:00,,40,65,0,,,,40,40,40,67,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:33:00+00:00,,40,70,0,,,,40,40,40,65,81,65,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:34:00+00:00,,40,66,0,,,,40,40,40,70,70,66,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:35:00+00:00,,40,70,0,,,,40,40,40,66,81,64,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:36:00+00:00,,42,70,0,,,,40,42,40,70,81,68,,KXNBAGAME-25NOV02MIALAL-LAL
2025-11-01 03:37:00+00:00,,42,67,0,,,,42,42,42,70,74,67,,KXNBAGAME-25NOV02MIALAL-LAL
