datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 20:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:19:00+00:00,,13,86,0,,,,13,13,13,87,87,86,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:39:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:43:00+00:00,,25,85,0,,,,13,25,13,86,86,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:44:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:45:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:47:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:48:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:49:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:50:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:51:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:52:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:53:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:54:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:55:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:56:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:57:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:58:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 20:59:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 21:00:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 21:01:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 22:06:00+00:00,,25,83,0,,,,25,25,25,85,85,83,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 22:10:00+00:00,,25,83,0,,,,25,25,25,83,83,83,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 22:43:00+00:00,,27,83,0,,,,25,27,25,83,83,83,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 23:02:00+00:00,,27,83,0,,,,27,27,27,83,83,83,,KXNBAGAME-25NOV02MIALAL-MIA
2025-10-31 23:47:00+00:00,,27,83,0,,,,27,27,27,83,83,83,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 00:38:00+00:00,,27,70,0,,,,27,27,27,83,83,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 01:20:00+00:00,,27,70,0,,,,27,27,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 01:25:00+00:00,,27,70,0,,,,27,27,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 01:31:00+00:00,,27,70,0,,,,27,27,27,70,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 01:49:00+00:00,,27,70,0,,,,27,27,27,70,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:07:00+00:00,,27,71,0,,,,27,27,27,70,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:11:00+00:00,,27,71,0,,,,27,27,27,71,71,71,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:12:00+00:00,,27,71,0,,,,27,27,27,71,71,71,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:14:00+00:00,,27,71,0,,,,27,27,27,71,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:15:00+00:00,,27,70,0,,,,27,27,27,71,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:18:00+00:00,,27,70,0,,,,27,27,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:22:00+00:00,,27,70,0,,,,27,27,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:23:00+00:00,,27,71,0,,,,27,27,27,70,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:25:00+00:00,,27,70,0,,,,27,27,27,71,71,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:27:00+00:00,,27,70,0,,,,27,27,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:30:00+00:00,,30,70,0,,,,27,30,27,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:33:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:34:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:37:00+00:00,,31,70,0,,,,30,31,30,70,70,70,,KXNBAGAME-25NOV02MIALAL-MIA
2025-11-01 02:38:00+00:00,,31,66,0,,,,31,31,31,70,70,66,,KXNBAGAME-25NOV02MIALAL-MIA
