datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 17:07:00+00:00,,1,100,0,,,,1,1,1,100,100,100,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:09:00+00:00,,3,100,0,,,,1,3,1,100,100,100,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:11:00+00:00,,13,86,0,,,,3,13,3,100,100,86,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:16:00+00:00,,13,81,0,,,,13,13,13,86,86,81,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:17:00+00:00,,13,81,0,,,,13,13,13,81,81,81,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:18:00+00:00,,25,79,0,,,,13,25,13,81,81,79,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:19:00+00:00,79.0,25,79,5,79.0,79.0,79.0,25,25,25,79,80,79,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:20:00+00:00,81.0,26,80,305,79.0,81.0,79.0,25,26,25,79,81,79,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:21:00+00:00,,50,80,0,,,,26,50,26,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:24:00+00:00,,50,80,0,,,,50,50,50,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:25:00+00:00,,50,80,0,,,,50,50,50,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:26:00+00:00,,51,80,0,,,,50,51,50,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:32:00+00:00,,51,80,0,,,,51,51,50,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:35:00+00:00,,51,80,0,,,,51,51,51,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:36:00+00:00,,55,80,0,,,,51,55,51,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:37:00+00:00,,56,80,0,,,,55,56,55,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:41:00+00:00,,56,80,0,,,,56,56,56,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:42:00+00:00,,57,80,0,,,,56,57,56,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:43:00+00:00,,58,80,0,,,,57,58,57,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:44:00+00:00,,58,80,0,,,,58,58,58,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:48:00+00:00,,57,80,0,,,,58,58,57,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:49:00+00:00,,58,80,0,,,,57,58,57,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:50:00+00:00,,58,80,0,,,,58,58,58,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:54:00+00:00,80.0,59,80,30,80.0,80.0,80.0,58,59,58,80,80,80,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:55:00+00:00,,59,79,0,,,,59,59,59,80,80,79,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:56:00+00:00,,59,76,0,,,,59,59,59,79,79,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 17:59:00+00:00,,58,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:00:00+00:00,,59,76,0,,,,58,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:05:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:11:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:16:00+00:00,,58,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:17:00+00:00,,59,76,0,,,,58,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:22:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:28:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:30:00+00:00,,59,75,0,,,,59,59,59,76,76,75,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:31:00+00:00,,59,76,0,,,,59,59,59,75,77,75,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:33:00+00:00,,58,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:34:00+00:00,,59,76,0,,,,58,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:39:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:45:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:50:00+00:00,,58,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:51:00+00:00,,59,76,0,,,,58,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 18:56:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:01:00+00:00,,58,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:02:00+00:00,,59,76,0,,,,58,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:07:00+00:00,,59,76,0,,,,59,59,58,76,76,76,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:09:00+00:00,,59,75,0,,,,59,59,59,76,76,75,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:10:00+00:00,,59,75,0,,,,59,59,59,75,75,75,,KXNBAGAME-25NOV02SASPHX-SAS
2025-10-31 19:11:00+00:00,,59,75,0,,,,59,59,59,75,75,75,,KXNBAGAME-25NOV02SASPHX-SAS
