datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-01 20:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:13:00+00:00,,13,87,0,,,,13,13,13,87,87,87,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:14:00+00:00,,25,86,0,,,,13,25,13,87,87,86,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:17:00+00:00,,26,84,0,,,,25,26,25,86,86,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:34:00+00:00,,26,84,0,,,,26,26,26,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:48:00+00:00,,26,84,0,,,,26,26,26,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 20:51:00+00:00,,27,84,0,,,,26,27,26,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:06:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:07:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:08:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:09:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:10:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:11:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:12:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:13:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:14:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:15:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:16:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:17:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:18:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:19:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:20:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:21:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:22:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:23:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:24:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:25:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:26:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:27:00+00:00,,27,84,0,,,,27,27,27,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:28:00+00:00,,28,80,0,,,,27,28,27,84,84,80,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:29:00+00:00,,28,74,0,,,,28,28,28,80,80,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:30:00+00:00,,28,80,0,,,,28,28,28,74,85,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:31:00+00:00,,28,75,0,,,,28,28,28,80,80,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:32:00+00:00,,28,80,0,,,,28,28,28,75,85,75,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:33:00+00:00,,28,75,0,,,,28,28,28,80,80,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:34:00+00:00,,28,78,0,,,,28,28,28,75,85,75,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:35:00+00:00,,28,84,0,,,,28,28,28,78,85,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:36:00+00:00,,28,80,0,,,,28,28,28,84,84,80,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:37:00+00:00,,28,84,0,,,,28,28,28,80,85,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:38:00+00:00,,28,78,0,,,,28,28,28,84,84,78,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:39:00+00:00,,28,84,0,,,,28,28,28,78,85,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:40:00+00:00,,28,76,0,,,,28,28,28,84,84,76,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:41:00+00:00,,28,75,0,,,,28,28,28,76,76,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:42:00+00:00,,28,78,0,,,,28,28,28,75,85,75,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:43:00+00:00,,28,84,0,,,,28,28,28,78,85,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:44:00+00:00,,28,82,0,,,,28,28,28,84,84,82,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:45:00+00:00,,28,75,0,,,,28,28,28,82,82,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:46:00+00:00,,28,84,0,,,,28,28,28,75,85,75,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:47:00+00:00,,28,84,0,,,,28,28,28,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:48:00+00:00,,28,84,0,,,,28,28,28,84,84,84,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:49:00+00:00,,28,78,0,,,,28,28,28,84,84,78,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:50:00+00:00,,28,77,0,,,,28,28,28,78,80,74,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:51:00+00:00,,28,73,0,,,,28,28,28,77,77,73,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:52:00+00:00,,28,73,0,,,,28,28,28,73,73,72,,KXNBAGAME-25NOV03LALPOR-LAL
2025-11-01 21:53:00+00:00,,28,85,0,,,,28,28,28,73,86,73,,KXNBAGAME-25NOV03LALPOR-LAL
