datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-02 19:10:00+00:00,,0,84,0,,,,0,0,0,85,85,84,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:11:00+00:00,,25,82,0,,,,0,25,0,84,84,80,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:12:00+00:00,,25,81,0,,,,25,25,25,82,82,81,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:13:00+00:00,,25,81,0,,,,25,25,25,81,81,81,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:14:00+00:00,,25,78,0,,,,25,25,25,81,81,77,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:15:00+00:00,,25,78,0,,,,25,25,25,78,78,78,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:16:00+00:00,,25,78,0,,,,25,25,25,78,78,78,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:17:00+00:00,,25,67,0,,,,25,25,25,78,78,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:18:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:19:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:22:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:23:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:24:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:25:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:26:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:27:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:31:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:32:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:33:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
2025-11-02 19:34:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25NOV04MILTOR-MIL
