datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-02 22:11:00+00:00,,25,86,0,,,,0,25,0,99,99,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-02 22:48:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-02 23:37:00+00:00,25.0,25,86,9,25.0,25.0,25.0,25,25,25,86,87,77,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 00:17:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 00:35:00+00:00,,25,87,0,,,,25,25,25,86,87,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 00:38:00+00:00,,25,86,0,,,,25,25,25,87,87,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 00:44:00+00:00,,25,84,0,,,,25,25,25,86,86,84,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 01:11:00+00:00,,25,86,0,,,,25,25,25,84,86,84,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 01:13:00+00:00,,25,85,0,,,,25,25,25,86,86,85,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 01:32:00+00:00,,26,85,0,,,,25,26,25,85,85,85,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 01:33:00+00:00,,26,86,0,,,,26,26,26,85,86,85,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 01:44:00+00:00,,26,86,0,,,,26,26,26,86,86,86,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:01:00+00:00,,26,83,0,,,,26,26,26,86,86,83,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:02:00+00:00,,26,75,0,,,,26,26,26,83,83,75,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:03:00+00:00,,26,73,0,,,,26,26,26,75,75,73,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:04:00+00:00,,26,71,0,,,,26,26,26,73,73,71,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:05:00+00:00,,26,69,0,,,,26,26,26,71,71,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:06:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:07:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:11:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:14:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:17:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:21:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:24:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:28:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:31:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:35:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:38:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:39:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:43:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:46:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:48:00+00:00,,26,84,0,,,,26,26,26,69,84,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:49:00+00:00,,26,79,0,,,,26,26,26,84,84,79,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:50:00+00:00,,26,77,0,,,,26,26,26,79,79,77,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:51:00+00:00,,26,75,0,,,,26,26,26,77,77,75,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:52:00+00:00,,26,71,0,,,,26,26,26,75,75,71,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:53:00+00:00,,26,69,0,,,,26,26,26,71,71,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:54:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:55:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 02:56:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:00:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:03:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:07:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:10:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:12:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:15:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:19:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:22:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:23:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:27:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:30:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:33:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:37:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:40:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:44:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:47:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:48:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:49:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:53:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:56:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 03:59:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:03:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:06:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:09:00+00:00,69.0,26,71,100,69.0,69.0,69.0,26,26,26,69,86,67,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:10:00+00:00,,26,69,0,,,,26,26,26,71,71,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:11:00+00:00,,26,69,0,,,,26,26,26,71,71,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:15:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:18:00+00:00,,26,69,0,,,,26,26,26,69,69,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:20:00+00:00,,26,83,0,,,,26,26,26,69,83,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:21:00+00:00,,26,74,0,,,,26,26,26,83,83,69,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:22:00+00:00,,26,72,0,,,,26,26,26,74,74,72,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:23:00+00:00,26.0,26,68,222,26.0,26.0,26.0,26,26,26,72,74,68,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:24:00+00:00,,26,66,0,,,,26,26,26,68,72,66,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:25:00+00:00,,26,66,0,,,,26,26,26,68,68,66,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:26:00+00:00,,26,66,0,,,,26,26,26,66,66,66,,KXNBAGAME-25NOV04OKCLAC-LAC
2025-11-03 04:27:00+00:00,,26,66,0,,,,26,26,26,66,66,66,,KXNBAGAME-25NOV04OKCLAC-LAC
