datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-02 22:11:00+00:00,,25,86,0,,,,0,25,0,99,99,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-02 22:48:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-02 23:37:00+00:00,86.0,25,86,9,86.0,86.0,86.0,25,25,25,86,87,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 00:17:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 00:35:00+00:00,,25,87,0,,,,25,25,25,86,87,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 00:38:00+00:00,,25,86,0,,,,25,25,25,87,87,86,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 00:44:00+00:00,,25,84,0,,,,25,25,25,86,86,84,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 01:11:00+00:00,,25,86,0,,,,25,25,25,84,86,84,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 01:13:00+00:00,,25,85,0,,,,25,25,25,86,86,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 01:32:00+00:00,,26,85,0,,,,25,26,25,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 01:33:00+00:00,,49,85,0,,,,26,50,26,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 01:44:00+00:00,,49,85,0,,,,49,49,49,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:01:00+00:00,,51,85,0,,,,49,51,49,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:05:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:06:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:07:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:08:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:10:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:11:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:15:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:18:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:22:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:25:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:26:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:30:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:33:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:36:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:40:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:43:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:46:00+00:00,,51,85,0,,,,51,51,51,85,85,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:48:00+00:00,,51,86,0,,,,51,51,51,85,86,85,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:49:00+00:00,,51,83,0,,,,51,51,51,86,86,83,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:50:00+00:00,,51,83,0,,,,51,51,51,83,83,83,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:51:00+00:00,,51,83,0,,,,51,51,51,83,83,83,,KXNBAGAME-25NOV04OKCLAC-OKC
2025-11-03 02:55:00+00:00,,51,83,0,,,,51,51,51,83,83,83,,KXNBAGAME-25NOV04OKCLAC-OKC
