datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 22:08:00+00:00,,50,100,0,,,,50,50,50,100,100,100,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:10:00+00:00,,50,99,0,,,,50,50,50,100,100,99,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:11:00+00:00,,50,87,0,,,,50,50,50,99,99,87,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:13:00+00:00,,50,86,0,,,,50,50,50,87,87,86,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:16:00+00:00,,50,74,0,,,,50,50,50,86,86,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:39:00+00:00,,50,74,0,,,,50,50,50,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 22:44:00+00:00,,50,74,0,,,,50,50,50,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-03 23:37:00+00:00,74.0,50,74,4,74.0,74.0,74.0,50,50,50,74,75,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 00:05:00+00:00,,60,74,0,,,,50,60,50,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 00:13:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 00:21:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:14:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:33:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:46:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:47:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:58:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 01:59:00+00:00,,60,74,0,,,,60,60,60,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 02:45:00+00:00,,60,73,0,,,,60,60,60,74,74,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 02:49:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 02:50:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 02:55:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 02:56:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:01:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:05:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:09:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:16:00+00:00,73.0,60,73,1,73.0,73.0,73.0,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:17:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:22:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:25:00+00:00,,60,73,0,,,,60,60,60,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:26:00+00:00,73.0,60,73,2,73.0,73.0,73.0,60,60,60,73,74,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:27:00+00:00,73.0,60,74,2,73.0,73.0,73.0,60,60,60,73,74,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:28:00+00:00,74.0,60,75,90,74.0,74.0,74.0,60,60,60,74,75,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:31:00+00:00,,60,75,0,,,,60,60,60,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:35:00+00:00,,60,75,0,,,,60,60,60,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:37:00+00:00,,61,75,0,,,,60,61,60,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:40:00+00:00,,61,74,0,,,,61,61,61,75,75,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:41:00+00:00,74.0,61,74,1,74.0,74.0,74.0,61,61,61,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:46:00+00:00,74.0,61,73,1,74.0,74.0,74.0,61,61,61,74,74,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:47:00+00:00,,61,73,0,,,,61,61,61,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 03:59:00+00:00,73.0,61,73,1,73.0,73.0,73.0,61,61,61,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:04:00+00:00,73.0,61,73,3,73.0,73.0,73.0,61,61,61,73,75,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:12:00+00:00,73.0,61,73,1,73.0,73.0,73.0,61,61,61,73,75,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:16:00+00:00,,61,73,0,,,,61,61,61,73,73,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:18:00+00:00,73.0,61,75,1,73.0,73.0,73.0,61,61,61,73,75,73,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:21:00+00:00,75.0,61,75,1,75.0,75.0,75.0,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:22:00+00:00,,61,75,0,,,,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:23:00+00:00,,61,75,0,,,,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:27:00+00:00,,61,75,0,,,,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:28:00+00:00,,61,75,0,,,,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:29:00+00:00,75.0,61,75,50,75.0,75.0,75.0,61,61,61,75,75,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:30:00+00:00,,61,74,0,,,,61,61,61,75,75,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:33:00+00:00,,61,74,0,,,,61,61,61,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:37:00+00:00,,61,74,0,,,,61,61,61,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:40:00+00:00,74.0,61,74,4,74.0,74.0,74.0,61,61,61,74,75,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:44:00+00:00,,61,74,0,,,,61,61,61,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:45:00+00:00,,61,74,0,,,,61,61,61,74,74,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:46:00+00:00,75.0,61,75,154,74.0,75.0,74.0,61,61,61,74,76,74,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:47:00+00:00,75.0,61,75,47,75.0,75.0,75.0,61,61,61,75,76,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:48:00+00:00,76.0,61,76,204,75.0,76.0,75.0,61,61,61,75,76,75,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:49:00+00:00,76.0,61,76,96,76.0,76.0,76.0,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:52:00+00:00,,61,76,0,,,,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:54:00+00:00,,61,76,0,,,,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:57:00+00:00,,61,76,0,,,,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 04:58:00+00:00,,61,76,0,,,,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:02:00+00:00,,61,76,0,,,,61,61,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:04:00+00:00,,74,76,0,,,,61,74,61,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:06:00+00:00,,74,76,0,,,,74,74,74,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:07:00+00:00,76.0,75,76,10,76.0,76.0,76.0,74,75,74,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:09:00+00:00,76.0,75,76,26,76.0,76.0,76.0,75,75,75,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:10:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:13:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:17:00+00:00,,75,76,0,,,,75,75,75,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:19:00+00:00,75.0,63,76,1,75.0,75.0,75.0,75,75,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:20:00+00:00,76.0,63,76,1,76.0,76.0,76.0,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:23:00+00:00,,63,76,0,,,,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:24:00+00:00,,63,76,0,,,,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:25:00+00:00,76.0,63,76,500,76.0,76.0,76.0,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:28:00+00:00,76.0,63,76,1500,76.0,76.0,76.0,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:29:00+00:00,,63,76,0,,,,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:30:00+00:00,76.0,63,76,50,76.0,76.0,76.0,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:34:00+00:00,,63,76,0,,,,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:36:00+00:00,76.0,63,76,100,76.0,76.0,76.0,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
2025-11-04 05:37:00+00:00,,63,76,0,,,,63,63,63,76,76,76,,KXNBAGAME-25NOV05OKCPOR-OKC
