datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 19:07:00+00:00,,25,98,0,,,,0,25,0,99,99,98,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:08:00+00:00,,25,98,0,,,,25,25,25,98,98,98,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:11:00+00:00,,25,43,0,,,,25,25,25,98,98,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:12:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:16:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:17:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:18:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:19:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:20:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:21:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:22:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:23:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:24:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:25:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:26:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:27:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:28:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:29:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:30:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:31:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:32:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:33:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:34:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:35:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:36:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:37:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:38:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:39:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
2025-11-03 19:40:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25NOV05PHICLE-PHI
