datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 22:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-03 22:14:00+00:00,,13,86,0,,,,13,13,13,87,87,86,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-03 22:16:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-03 22:39:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-03 22:43:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-03 22:44:00+00:00,,25,85,0,,,,13,25,13,86,86,85,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 00:02:00+00:00,,35,60,0,,,,25,35,25,85,85,60,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 00:13:00+00:00,,35,60,0,,,,35,35,35,60,60,60,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 00:21:00+00:00,,35,60,0,,,,35,35,35,60,60,60,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 00:37:00+00:00,,35,60,0,,,,35,35,35,60,60,60,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 01:01:00+00:00,,35,55,0,,,,35,35,35,60,60,55,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 01:14:00+00:00,,35,56,0,,,,35,35,35,55,56,55,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 01:46:00+00:00,,35,56,0,,,,35,35,35,56,56,56,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 01:47:00+00:00,,35,56,0,,,,35,35,35,56,56,56,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 01:57:00+00:00,,35,56,0,,,,35,35,35,56,56,56,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 02:40:00+00:00,,35,56,0,,,,35,35,35,56,56,56,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 02:41:00+00:00,,35,56,0,,,,35,35,35,56,56,56,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 02:50:00+00:00,,35,54,0,,,,35,35,35,56,56,54,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 02:55:00+00:00,,35,54,0,,,,35,35,35,54,54,54,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:01:00+00:00,,35,54,0,,,,35,35,35,54,54,54,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:05:00+00:00,,35,54,0,,,,35,35,35,54,54,54,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:09:00+00:00,,35,54,0,,,,35,35,35,54,54,54,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:17:00+00:00,,35,53,0,,,,35,35,35,54,54,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:23:00+00:00,,35,53,0,,,,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:24:00+00:00,,35,53,0,,,,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:25:00+00:00,,35,53,0,,,,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:30:00+00:00,53.0,35,53,10,53.0,53.0,53.0,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:31:00+00:00,,35,53,0,,,,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:35:00+00:00,,35,53,0,,,,35,35,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:36:00+00:00,,36,53,0,,,,35,36,35,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:37:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:38:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:39:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:40:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:44:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:47:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:51:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:54:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 03:58:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:01:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:02:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:03:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:05:00+00:00,,36,53,0,,,,36,36,36,53,54,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:09:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:10:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:11:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:12:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:13:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:16:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:17:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:18:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:19:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:22:00+00:00,53.0,36,53,2,53.0,53.0,53.0,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:25:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:26:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:27:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:28:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:29:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:30:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:31:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:32:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:33:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:34:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:38:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:39:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:40:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:41:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:45:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:46:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:47:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:48:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:50:00+00:00,53.0,36,53,1,53.0,53.0,53.0,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:53:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:54:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:55:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:56:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 04:57:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
2025-11-04 05:01:00+00:00,,36,53,0,,,,36,36,36,53,53,53,,KXNBAGAME-25NOV05SASLAL-LAL
