datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-03 22:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 22:14:00+00:00,,13,86,0,,,,13,13,13,87,87,86,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 22:16:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 22:39:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 22:43:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 22:44:00+00:00,,25,85,0,,,,13,25,13,86,86,85,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-03 23:59:00+00:00,,40,85,0,,,,25,40,25,85,85,85,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 00:00:00+00:00,,40,65,0,,,,40,40,40,85,85,65,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 00:13:00+00:00,,40,65,0,,,,40,40,40,65,65,65,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 00:21:00+00:00,,40,65,0,,,,40,40,40,65,65,65,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:01:00+00:00,,40,61,0,,,,40,40,40,65,65,61,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:14:00+00:00,,40,62,0,,,,40,40,40,61,62,61,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:34:00+00:00,,40,63,0,,,,40,40,40,62,63,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:35:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:46:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 01:47:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 02:05:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 02:35:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 02:36:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 02:41:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 02:55:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:01:00+00:00,63.0,40,63,7,63.0,63.0,63.0,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:06:00+00:00,,40,63,0,,,,40,40,40,63,63,63,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:17:00+00:00,,40,62,0,,,,40,40,40,63,63,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:22:00+00:00,,40,62,0,,,,40,40,40,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:31:00+00:00,,40,62,0,,,,40,40,40,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:35:00+00:00,,40,62,0,,,,40,40,40,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:36:00+00:00,,41,62,0,,,,40,41,40,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:37:00+00:00,,41,62,0,,,,41,41,41,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:41:00+00:00,62.0,41,62,1,62.0,62.0,62.0,41,41,41,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 03:47:00+00:00,,41,62,0,,,,41,41,41,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 04:01:00+00:00,62.0,41,62,14,62.0,62.0,62.0,41,41,41,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
2025-11-04 04:05:00+00:00,62.0,41,62,32,62.0,62.0,62.0,41,41,41,62,62,62,,KXNBAGAME-25NOV05SASLAL-SAS
