datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-06 19:07:00+00:00,,25,97,0,,,,0,25,0,99,99,97,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:08:00+00:00,,25,97,0,,,,25,25,25,97,97,97,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:10:00+00:00,,25,83,0,,,,25,25,25,97,97,80,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:11:00+00:00,,25,79,0,,,,25,25,25,83,83,79,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:12:00+00:00,,25,79,0,,,,25,25,25,79,79,79,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:16:00+00:00,,25,79,0,,,,25,25,25,79,79,79,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:19:00+00:00,,25,79,0,,,,25,25,25,79,79,79,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:22:00+00:00,,13,86,0,,,,25,25,13,79,86,79,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:26:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:28:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:29:00+00:00,,21,85,0,,,,13,21,13,86,86,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:30:00+00:00,,21,85,0,,,,21,21,21,85,85,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:31:00+00:00,,13,85,0,,,,21,21,13,85,85,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:32:00+00:00,,13,86,0,,,,13,13,13,85,86,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:35:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:38:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:42:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:43:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:44:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:47:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:51:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:52:00+00:00,,13,86,0,,,,13,13,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:55:00+00:00,,14,86,0,,,,13,14,13,86,86,86,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:56:00+00:00,,14,85,0,,,,14,14,14,86,86,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 19:59:00+00:00,,14,85,0,,,,14,14,14,85,85,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 20:03:00+00:00,,14,85,0,,,,14,14,14,85,85,85,,KXNBAGAME-25NOV08PHXLAC-PHX
2025-11-06 20:04:00+00:00,,14,85,0,,,,14,14,14,85,85,85,,KXNBAGAME-25NOV08PHXLAC-PHX
