datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-08 19:06:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:07:00+00:00,,25,87,0,,,,13,25,13,87,87,87,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:11:00+00:00,,25,85,0,,,,25,25,25,87,87,85,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:12:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:14:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:17:00+00:00,,25,83,0,,,,25,25,25,85,85,83,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:20:00+00:00,,25,81,0,,,,25,25,25,83,83,81,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:26:00+00:00,,25,79,0,,,,25,25,25,81,81,79,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:30:00+00:00,,25,78,0,,,,25,25,25,79,79,77,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:33:00+00:00,,25,77,0,,,,25,25,25,78,78,77,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:36:00+00:00,,25,76,0,,,,25,25,25,77,77,76,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:38:00+00:00,,25,76,0,,,,25,25,25,76,76,76,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:42:00+00:00,,25,75,0,,,,25,25,25,76,76,75,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:45:00+00:00,,25,74,0,,,,25,25,25,75,75,74,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:52:00+00:00,,25,73,0,,,,25,25,25,74,74,73,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:56:00+00:00,,25,72,0,,,,25,25,25,73,73,72,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:57:00+00:00,,25,68,0,,,,25,25,25,72,72,68,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:58:00+00:00,,25,64,0,,,,25,25,25,68,68,64,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 19:59:00+00:00,,25,53,0,,,,25,25,25,64,64,53,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 20:00:00+00:00,,25,48,0,,,,25,25,25,53,53,48,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 20:01:00+00:00,,25,45,0,,,,25,25,25,48,48,45,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 20:07:00+00:00,,25,44,0,,,,25,25,25,45,45,44,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 20:13:00+00:00,,25,43,0,,,,25,25,25,44,44,43,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:17:00+00:00,,26,42,0,,,,25,26,25,43,43,42,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:19:00+00:00,,26,42,0,,,,26,26,26,42,42,42,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:23:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:25:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:27:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:29:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:31:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:32:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:34:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:36:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:38:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:40:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:42:00+00:00,,26,41,0,,,,26,26,26,42,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
2025-11-08 21:44:00+00:00,,26,42,0,,,,26,26,26,41,42,41,,KXNBAGAME-25NOV10ATLLAC-ATL
