datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-11-08 19:06:00+00:00,,25,87,0,,,,0,25,0,99,99,87,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 19:07:00+00:00,,25,87,0,,,,25,25,25,87,87,87,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 19:11:00+00:00,,25,86,0,,,,25,25,25,87,87,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 19:12:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 19:38:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 20:01:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 21:19:00+00:00,,25,86,0,,,,25,25,25,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 21:22:00+00:00,,35,86,0,,,,25,35,25,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-08 22:57:00+00:00,,35,86,0,,,,35,35,35,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:36:00+00:00,,35,86,0,,,,35,35,35,86,86,86,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:37:00+00:00,,36,84,0,,,,35,36,35,86,86,84,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:38:00+00:00,,36,82,0,,,,36,36,35,84,84,82,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:39:00+00:00,,36,80,0,,,,36,36,35,82,82,80,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:40:00+00:00,,36,80,0,,,,36,36,35,80,80,80,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:41:00+00:00,,36,80,0,,,,36,36,35,80,80,80,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:43:00+00:00,,59,79,0,,,,36,59,35,80,80,70,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:44:00+00:00,,59,79,0,,,,59,59,59,79,80,70,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:45:00+00:00,,59,69,0,,,,59,60,59,79,79,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:46:00+00:00,,60,69,0,,,,59,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:47:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:48:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:49:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:50:00+00:00,,60,69,0,,,,60,60,60,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:51:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:52:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:53:00+00:00,,60,69,0,,,,60,60,60,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:54:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:55:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:56:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:57:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:58:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 00:59:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 01:00:00+00:00,,60,69,0,,,,60,60,60,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 01:01:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 01:02:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 01:03:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
2025-11-09 01:04:00+00:00,,60,69,0,,,,60,60,59,69,69,69,,KXNBAGAME-25NOV10ATLLAC-LAC
