datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-26 20:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 20:17:00+00:00,,13,61,0,,,,13,13,13,87,87,61,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 20:30:00+00:00,,13,60,0,,,,13,13,13,61,61,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 20:38:00+00:00,,25,60,0,,,,13,25,13,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 20:45:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 20:49:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 21:07:00+00:00,,26,60,0,,,,25,26,25,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 21:09:00+00:00,60.0,26,60,4,60.0,60.0,60.0,26,26,26,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 21:20:00+00:00,,26,60,0,,,,26,26,26,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 21:21:00+00:00,,26,60,0,,,,26,26,26,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 22:04:00+00:00,,26,60,0,,,,26,26,26,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 22:14:00+00:00,,28,60,0,,,,26,28,26,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 22:15:00+00:00,,28,60,0,,,,28,28,28,60,60,60,,KXNBAGAME-25OCT28LACGSW-GSW
2025-10-26 22:17:00+00:00,,28,59,0,,,,28,28,28,60,60,59,,KXNBAGAME-25OCT28LACGSW-GSW
