datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-26 20:11:00+00:00,,13,87,0,,,,0,13,0,99,99,87,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:17:00+00:00,,13,53,0,,,,13,13,13,87,87,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:30:00+00:00,,13,53,0,,,,13,13,13,53,53,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:38:00+00:00,,25,53,0,,,,13,25,13,53,53,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:45:00+00:00,,25,85,0,,,,25,25,25,53,86,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:49:00+00:00,,25,85,0,,,,25,25,25,85,85,85,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 20:51:00+00:00,,25,85,0,,,,25,25,25,85,86,85,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 21:07:00+00:00,,26,85,0,,,,25,26,25,85,85,85,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 21:09:00+00:00,,26,85,0,,,,26,26,26,85,85,85,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 21:20:00+00:00,,26,85,0,,,,26,26,26,85,85,85,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 21:21:00+00:00,,26,53,0,,,,26,26,26,85,85,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 22:04:00+00:00,,26,53,0,,,,26,26,26,53,53,53,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 22:14:00+00:00,,26,52,0,,,,26,26,26,53,53,52,,KXNBAGAME-25OCT28LACGSW-LAC
2025-10-26 22:15:00+00:00,,27,52,0,,,,26,27,26,52,52,52,,KXNBAGAME-25OCT28LACGSW-LAC
