datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-27 17:11:00+00:00,,14,86,0,,,,0,14,0,99,99,85,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:12:00+00:00,,25,86,0,,,,14,25,14,86,86,86,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:13:00+00:00,,25,87,0,,,,25,25,25,86,87,86,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:14:00+00:00,,25,66,0,,,,25,25,25,87,87,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:15:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:19:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:22:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:26:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:29:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:32:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:36:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:39:00+00:00,,25,66,0,,,,25,25,25,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:41:00+00:00,,25,68,0,,,,25,25,25,66,68,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:42:00+00:00,,25,67,0,,,,25,25,25,68,68,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:43:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:44:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:45:00+00:00,,25,67,0,,,,25,25,25,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:48:00+00:00,,31,67,0,,,,25,31,25,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:50:00+00:00,,31,66,0,,,,31,31,31,67,67,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:51:00+00:00,,31,65,0,,,,31,31,31,66,66,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:52:00+00:00,,31,66,0,,,,31,31,31,65,67,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:54:00+00:00,,31,67,0,,,,31,31,31,66,68,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:58:00+00:00,,31,65,0,,,,31,31,31,67,67,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 17:59:00+00:00,,31,66,0,,,,31,31,31,65,67,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:00:00+00:00,,31,67,0,,,,31,31,31,66,68,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:01:00+00:00,,31,67,0,,,,31,31,31,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:02:00+00:00,,31,67,0,,,,31,31,31,67,67,67,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:05:00+00:00,,31,66,0,,,,31,31,31,67,67,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:08:00+00:00,,31,66,0,,,,31,31,30,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:12:00+00:00,,30,66,0,,,,31,31,30,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:13:00+00:00,,31,66,0,,,,30,31,30,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:14:00+00:00,,31,66,0,,,,31,31,31,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:17:00+00:00,,31,66,0,,,,31,31,30,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:21:00+00:00,,31,65,0,,,,31,31,30,66,66,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:22:00+00:00,,31,66,0,,,,31,31,31,65,66,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:24:00+00:00,,31,66,0,,,,31,31,31,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:25:00+00:00,,31,65,0,,,,31,31,31,66,66,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:28:00+00:00,,31,65,0,,,,31,31,30,65,65,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:31:00+00:00,,31,66,0,,,,31,31,31,65,66,65,,KXNBAGAME-25OCT29CLEBOS-CLE
2025-10-27 18:32:00+00:00,,31,66,0,,,,31,31,31,66,66,66,,KXNBAGAME-25OCT29CLEBOS-CLE
