datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-27 20:11:00+00:00,,25,80,0,,,,0,25,0,99,99,80,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 20:16:00+00:00,,25,47,0,,,,25,25,25,80,80,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 20:20:00+00:00,,27,47,0,,,,25,27,25,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 20:23:00+00:00,,27,47,0,,,,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 20:26:00+00:00,,27,47,0,,,,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 20:52:00+00:00,,27,47,0,,,,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:14:00+00:00,,27,47,0,,,,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:39:00+00:00,47.0,27,47,10,47.0,47.0,47.0,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:44:00+00:00,,28,46,0,,,,27,28,27,47,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:49:00+00:00,,27,47,0,,,,28,28,27,46,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:50:00+00:00,,28,46,0,,,,27,28,27,47,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 21:55:00+00:00,,28,46,0,,,,28,28,27,46,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:00:00+00:00,,27,47,0,,,,28,28,27,46,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:01:00+00:00,,28,46,0,,,,27,28,27,47,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:06:00+00:00,,27,47,0,,,,28,28,27,46,47,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:19:00+00:00,,27,47,0,,,,27,27,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:35:00+00:00,,28,47,0,,,,27,28,27,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:36:00+00:00,,28,47,0,,,,28,28,28,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 22:55:00+00:00,,28,47,0,,,,28,28,28,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:02:00+00:00,,28,47,0,,,,28,28,28,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:26:00+00:00,48.0,28,48,20,47.0,48.0,47.0,28,28,28,47,48,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:29:00+00:00,48.0,28,47,1,48.0,48.0,48.0,28,28,28,48,48,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:30:00+00:00,47.0,28,47,1,47.0,47.0,47.0,28,28,28,47,47,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:43:00+00:00,76.0,28,48,34,47.0,76.0,47.0,28,28,28,47,76,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:47:00+00:00,,28,48,0,,,,28,28,28,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-27 23:56:00+00:00,,28,48,0,,,,28,28,28,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 00:00:00+00:00,,28,51,0,,,,28,28,28,48,75,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 00:05:00+00:00,,27,75,0,,,,28,28,27,51,75,51,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 00:27:00+00:00,,27,74,0,,,,27,27,27,75,75,74,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 00:49:00+00:00,,27,66,0,,,,27,27,27,74,74,66,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 00:52:00+00:00,,28,66,0,,,,27,28,27,66,66,66,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 01:17:00+00:00,,28,64,0,,,,28,28,28,66,66,62,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 01:53:00+00:00,,28,64,0,,,,28,28,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:01:00+00:00,,28,51,0,,,,28,28,28,64,64,51,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:06:00+00:00,,28,51,0,,,,28,28,28,51,51,51,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:09:00+00:00,,28,50,0,,,,28,28,28,51,51,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:12:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:15:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:19:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:22:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:25:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:27:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:28:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:31:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:35:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:38:00+00:00,,28,50,0,,,,28,28,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:41:00+00:00,,29,50,0,,,,28,29,28,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:44:00+00:00,,29,50,0,,,,29,29,29,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:46:00+00:00,50.0,30,50,206,50.0,50.0,50.0,29,30,29,50,51,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:48:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:51:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:53:00+00:00,,31,50,0,,,,30,31,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:57:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 02:58:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:02:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:05:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:06:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:10:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:13:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:16:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:20:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:23:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:24:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:25:00+00:00,,31,50,0,,,,31,31,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:27:00+00:00,50.0,33,50,1,50.0,50.0,50.0,31,33,31,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:31:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:32:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:35:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:39:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:42:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:45:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:49:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:50:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:51:00+00:00,,33,50,0,,,,33,33,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:52:00+00:00,,32,50,0,,,,33,33,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:53:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:57:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:58:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 03:59:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:03:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:04:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:08:00+00:00,,32,50,0,,,,32,32,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:10:00+00:00,,33,50,0,,,,32,33,32,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:12:00+00:00,,34,50,0,,,,33,34,33,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:15:00+00:00,,35,50,0,,,,34,35,34,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:16:00+00:00,,34,50,0,,,,35,45,34,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:19:00+00:00,,34,50,0,,,,34,34,34,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:23:00+00:00,,34,50,0,,,,34,34,34,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:26:00+00:00,,34,50,0,,,,34,34,34,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:27:00+00:00,,34,50,0,,,,34,35,34,50,64,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:28:00+00:00,50.0,30,50,200,50.0,50.0,50.0,34,34,29,50,51,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:29:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:32:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:36:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:37:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:38:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:39:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:40:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:42:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:43:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:44:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:47:00+00:00,,30,50,0,,,,30,30,30,50,50,50,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:50:00+00:00,,30,49,0,,,,30,30,30,50,50,49,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:51:00+00:00,,30,48,0,,,,30,30,30,49,49,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:52:00+00:00,,30,48,0,,,,30,30,30,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:55:00+00:00,,30,48,0,,,,30,30,30,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 04:59:00+00:00,,30,48,0,,,,30,30,30,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:01:00+00:00,,31,48,0,,,,30,31,30,48,48,48,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:02:00+00:00,,31,45,0,,,,31,31,31,48,48,45,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:03:00+00:00,,31,44,0,,,,31,31,31,45,45,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:04:00+00:00,,31,50,0,,,,31,31,31,44,50,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:05:00+00:00,48.0,32,46,1,48.0,48.0,48.0,31,32,31,50,50,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:06:00+00:00,,32,44,0,,,,32,32,32,46,46,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:07:00+00:00,,32,50,0,,,,32,32,32,44,50,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:08:00+00:00,,32,47,0,,,,32,32,32,50,50,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:09:00+00:00,45.0,31,44,5,45.0,45.0,45.0,32,32,29,47,47,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:10:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:11:00+00:00,,31,50,0,,,,31,31,31,44,50,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:12:00+00:00,,31,46,0,,,,31,31,31,50,50,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:13:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:15:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:16:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:18:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:19:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:23:00+00:00,,31,46,0,,,,31,31,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:25:00+00:00,46.0,32,46,5,46.0,46.0,46.0,31,32,31,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:28:00+00:00,,32,46,0,,,,32,32,32,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:32:00+00:00,,32,46,0,,,,32,32,32,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:35:00+00:00,,32,46,0,,,,32,32,32,46,46,46,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:38:00+00:00,,32,45,0,,,,32,32,32,46,46,45,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:39:00+00:00,,32,44,0,,,,32,32,32,45,45,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:40:00+00:00,,32,44,0,,,,32,32,32,44,44,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:41:00+00:00,,32,44,0,,,,32,32,32,44,44,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:42:00+00:00,,32,47,0,,,,32,32,32,44,50,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:43:00+00:00,,32,44,0,,,,32,32,32,47,47,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:44:00+00:00,50.0,30,50,1,50.0,50.0,50.0,32,32,29,44,50,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:45:00+00:00,,30,47,0,,,,30,30,30,50,50,47,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:46:00+00:00,,30,44,0,,,,30,30,30,47,47,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:47:00+00:00,,30,44,0,,,,30,30,30,44,44,44,,KXNBAGAME-25OCT29LALMIN-LAL
2025-10-28 05:48:00+00:00,,30,44,0,,,,30,30,30,44,44,44,,KXNBAGAME-25OCT29LALMIN-LAL
