datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-27 20:11:00+00:00,,25,80,0,,,,0,25,0,99,99,80,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 20:16:00+00:00,,25,64,0,,,,25,25,25,80,80,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 20:20:00+00:00,,27,64,0,,,,25,27,25,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 20:23:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 20:26:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 20:52:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:03:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:09:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:26:00+00:00,,27,64,0,,,,27,27,27,64,64,64,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:51:00+00:00,,27,63,0,,,,27,27,27,64,65,63,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:54:00+00:00,,27,62,0,,,,27,27,27,63,63,62,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 21:57:00+00:00,,27,61,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:00:00+00:00,,27,60,0,,,,27,27,27,61,61,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:01:00+00:00,,27,62,0,,,,27,27,27,60,62,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:02:00+00:00,,27,61,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:04:00+00:00,,27,60,0,,,,27,27,27,61,61,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:05:00+00:00,,27,61,0,,,,27,27,27,60,62,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:07:00+00:00,,27,60,0,,,,27,27,27,61,61,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:08:00+00:00,,27,61,0,,,,27,27,27,60,62,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:10:00+00:00,,27,60,0,,,,27,27,27,61,61,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:11:00+00:00,,27,61,0,,,,27,27,27,60,62,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:14:00+00:00,,27,60,0,,,,27,27,27,61,61,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:15:00+00:00,,27,61,0,,,,27,27,27,60,62,60,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:17:00+00:00,,27,62,0,,,,27,27,27,61,63,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:19:00+00:00,,27,62,0,,,,27,27,27,62,62,62,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:30:00+00:00,,27,61,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:31:00+00:00,,27,61,0,,,,27,27,27,61,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:34:00+00:00,,27,62,0,,,,27,27,27,61,63,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:35:00+00:00,,27,62,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:36:00+00:00,,27,62,0,,,,27,27,27,62,62,62,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:37:00+00:00,,27,61,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:38:00+00:00,,27,62,0,,,,27,27,27,61,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
2025-10-27 22:39:00+00:00,,27,61,0,,,,27,27,27,62,62,61,,KXNBAGAME-25OCT29LALMIN-MIN
