datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-27 20:11:00+00:00,,25,87,0,,,,0,25,0,99,99,87,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 20:16:00+00:00,,25,75,0,,,,25,25,25,87,87,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 20:20:00+00:00,,27,75,0,,,,25,27,25,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 20:22:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 20:46:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 20:52:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 21:55:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 22:19:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 22:35:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 22:55:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 22:59:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 23:18:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 23:44:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-27 23:47:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 00:05:00+00:00,,27,75,0,,,,27,27,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 00:28:00+00:00,,27,86,0,,,,27,27,27,75,87,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 00:54:00+00:00,,27,86,0,,,,27,27,27,86,86,86,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 01:17:00+00:00,,27,84,0,,,,27,27,27,86,86,84,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 01:18:00+00:00,,27,76,0,,,,27,27,27,84,84,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 01:54:00+00:00,,27,76,0,,,,27,27,27,76,76,76,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 02:01:00+00:00,,27,76,0,,,,27,27,27,76,76,76,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 02:03:00+00:00,,27,75,0,,,,27,27,27,76,76,75,,KXNBAGAME-25OCT29MEMPHX-MEM
2025-10-28 02:14:00+00:00,,35,75,0,,,,27,35,27,75,75,75,,KXNBAGAME-25OCT29MEMPHX-MEM
