datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-28 17:07:00+00:00,,2,98,0,,,,1,2,1,100,100,98,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:08:00+00:00,,25,98,0,,,,2,25,2,98,98,98,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:09:00+00:00,,25,98,0,,,,25,25,25,98,98,98,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:11:00+00:00,,25,87,0,,,,25,25,25,98,98,87,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:12:00+00:00,,25,87,0,,,,25,25,25,87,87,87,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:15:00+00:00,,25,69,0,,,,25,25,25,87,87,69,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:16:00+00:00,,25,69,0,,,,25,25,25,69,69,69,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:17:00+00:00,,25,68,0,,,,25,25,25,69,69,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:18:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:21:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:24:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:28:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:31:00+00:00,,25,68,0,,,,25,25,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:32:00+00:00,,32,68,0,,,,25,32,25,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:36:00+00:00,,32,68,0,,,,32,32,32,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:39:00+00:00,,32,68,0,,,,32,32,32,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:40:00+00:00,,32,68,0,,,,32,32,32,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:41:00+00:00,,32,68,0,,,,32,32,32,68,68,68,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:44:00+00:00,,32,65,0,,,,32,32,32,68,68,65,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:48:00+00:00,,32,65,0,,,,32,32,32,65,65,65,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:51:00+00:00,,32,65,0,,,,32,32,32,65,65,65,,KXNBAGAME-25OCT30GSWMIL-GSW
2025-10-28 17:54:00+00:00,,32,65,0,,,,32,32,32,65,65,65,,KXNBAGAME-25OCT30GSWMIL-GSW
