datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-28 17:07:00+00:00,,2,98,0,,,,1,2,1,100,100,98,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:08:00+00:00,,25,98,0,,,,2,25,2,98,98,98,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:09:00+00:00,,25,98,0,,,,25,25,25,98,98,98,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:11:00+00:00,,25,87,0,,,,25,25,25,98,98,87,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:12:00+00:00,,25,87,0,,,,25,25,25,87,87,87,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:15:00+00:00,,25,40,0,,,,25,25,25,87,87,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:17:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:18:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:21:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:24:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:28:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:31:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:32:00+00:00,,32,40,0,,,,25,32,25,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:33:00+00:00,,32,40,0,,,,32,32,32,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
2025-10-28 17:37:00+00:00,,32,40,0,,,,32,32,32,40,40,40,,KXNBAGAME-25OCT30GSWMIL-MIL
