datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 17:07:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:08:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:11:00+00:00,,25,87,0,,,,25,25,25,100,100,87,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:12:00+00:00,,25,44,0,,,,25,25,25,87,87,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:14:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:15:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:18:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:22:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:23:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:26:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:30:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:33:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:37:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:40:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:44:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:47:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:50:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:54:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 17:57:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:01:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:04:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:08:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:11:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:15:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:18:00+00:00,,25,44,0,,,,25,25,25,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:22:00+00:00,,25,43,0,,,,25,25,25,44,44,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:25:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:28:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:29:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:32:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 18:38:00+00:00,,25,43,0,,,,25,25,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:12:00+00:00,,28,43,0,,,,25,28,25,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:13:00+00:00,,30,43,0,,,,28,30,28,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:16:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:18:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:21:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:24:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:28:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:29:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:30:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:33:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:34:00+00:00,43.0,30,43,2,43.0,43.0,43.0,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:35:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:39:00+00:00,,30,43,0,,,,30,30,30,43,43,43,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:41:00+00:00,,31,42,0,,,,30,31,30,43,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:45:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:46:00+00:00,,30,43,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:47:00+00:00,,31,42,0,,,,30,31,30,43,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:50:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:52:00+00:00,,31,42,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:53:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:56:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 19:57:00+00:00,,31,42,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:01:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:03:00+00:00,,31,42,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:06:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:08:00+00:00,,31,42,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:12:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:13:00+00:00,,30,43,0,,,,31,31,30,42,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:14:00+00:00,,31,42,0,,,,30,31,30,43,43,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:15:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:16:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:18:00+00:00,,31,42,0,,,,31,31,31,42,42,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:19:00+00:00,,31,44,0,,,,31,31,30,42,45,42,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:23:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:24:00+00:00,,30,45,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:25:00+00:00,,31,44,0,,,,30,31,30,45,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:28:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:30:00+00:00,,31,44,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:34:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:35:00+00:00,,30,45,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:36:00+00:00,,31,44,0,,,,30,31,30,45,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:39:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:41:00+00:00,,31,44,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:45:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:46:00+00:00,,31,44,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:48:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:52:00+00:00,,31,44,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:55:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:57:00+00:00,,31,44,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 20:58:00+00:00,,31,44,0,,,,31,31,31,44,44,44,,KXNBAGAME-25OCT31BOSPHI-BOS
2025-10-29 21:02:00+00:00,,30,45,0,,,,31,31,30,44,45,44,,KXNBAGAME-25OCT31BOSPHI-BOS
