datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 17:07:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:11:00+00:00,,25,87,0,,,,25,25,25,100,100,87,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:12:00+00:00,,25,60,0,,,,25,25,25,87,87,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:14:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:15:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:16:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:19:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:23:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:24:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:25:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:28:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:29:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:30:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:31:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:32:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:33:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:36:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:37:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:38:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:41:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:43:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:44:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:45:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:48:00+00:00,,25,60,0,,,,25,25,25,60,60,60,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:51:00+00:00,,25,59,0,,,,25,25,25,60,60,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:54:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:55:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 17:56:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:00:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:03:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:07:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:10:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:11:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:12:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:16:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:19:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:20:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:21:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:25:00+00:00,,26,59,0,,,,25,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:26:00+00:00,,25,59,0,,,,26,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:28:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:31:00+00:00,,26,59,0,,,,25,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:32:00+00:00,,25,59,0,,,,26,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:35:00+00:00,,26,59,0,,,,25,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:36:00+00:00,,26,59,0,,,,26,26,26,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:37:00+00:00,,25,59,0,,,,26,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:38:00+00:00,,25,59,0,,,,25,25,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:41:00+00:00,,26,59,0,,,,25,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:42:00+00:00,,26,59,0,,,,26,26,26,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
2025-10-29 18:43:00+00:00,,25,59,0,,,,26,26,25,59,59,59,,KXNBAGAME-25OCT31BOSPHI-PHI
