datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 19:14:00+00:00,,30,100,0,,,,30,30,30,100,100,100,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:16:00+00:00,,30,87,0,,,,30,30,30,100,100,87,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:18:00+00:00,,30,68,0,,,,30,30,30,87,87,68,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:26:00+00:00,,30,68,0,,,,30,30,30,68,68,68,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:28:00+00:00,,30,68,0,,,,30,30,30,68,68,68,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:29:00+00:00,,30,68,0,,,,30,30,30,68,68,68,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:32:00+00:00,,30,68,0,,,,30,30,30,68,68,68,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:35:00+00:00,,30,67,0,,,,30,30,30,68,68,67,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:38:00+00:00,,30,67,0,,,,30,30,30,67,67,67,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 19:53:00+00:00,,30,67,0,,,,30,30,30,67,68,67,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:01:00+00:00,,30,66,0,,,,30,30,30,67,67,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:05:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:11:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:26:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:29:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:37:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 20:48:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:03:00+00:00,,30,66,0,,,,30,30,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:14:00+00:00,,32,66,0,,,,30,32,30,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:20:00+00:00,,40,66,0,,,,32,40,32,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:41:00+00:00,,40,66,0,,,,40,40,40,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:45:00+00:00,,40,66,0,,,,40,40,40,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:53:00+00:00,,40,66,0,,,,40,40,40,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 21:58:00+00:00,,41,66,0,,,,40,41,40,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 22:05:00+00:00,,41,66,0,,,,41,41,41,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 22:08:00+00:00,,41,66,0,,,,41,41,41,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
2025-10-29 22:15:00+00:00,,41,66,0,,,,41,41,41,66,66,66,,KXNBAGAME-25OCT31DENPOR-DEN
