datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 19:14:00+00:00,,25,100,0,,,,20,25,20,100,100,100,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:16:00+00:00,,25,87,0,,,,25,25,25,100,100,87,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:18:00+00:00,,25,36,0,,,,25,25,25,87,87,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:28:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:32:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:35:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:38:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 19:53:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 20:00:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 20:01:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 20:48:00+00:00,,25,36,0,,,,25,25,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 21:14:00+00:00,,27,36,0,,,,25,27,25,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 21:29:00+00:00,36.0,27,36,13,36.0,36.0,36.0,27,27,27,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 21:41:00+00:00,,27,36,0,,,,27,27,27,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 21:58:00+00:00,,28,36,0,,,,27,28,27,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 22:18:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 22:27:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:00:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:02:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:13:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:24:00+00:00,,28,59,0,,,,28,28,28,36,80,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:29:00+00:00,,29,74,0,,,,28,29,28,59,80,59,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:30:00+00:00,,29,70,0,,,,29,29,29,74,74,70,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:32:00+00:00,,29,66,0,,,,29,29,29,70,70,66,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:34:00+00:00,,28,62,0,,,,29,29,28,66,66,62,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:35:00+00:00,,29,61,0,,,,28,29,28,62,62,61,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:40:00+00:00,,29,67,0,,,,29,29,28,61,80,61,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:45:00+00:00,,28,63,0,,,,29,29,28,67,67,63,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:46:00+00:00,,29,62,0,,,,28,29,28,63,63,61,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:47:00+00:00,,29,52,0,,,,29,29,29,62,62,52,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:51:00+00:00,,29,51,0,,,,29,29,28,52,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-29 23:57:00+00:00,,29,51,0,,,,29,29,28,51,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:00:00+00:00,,29,51,0,,,,29,29,29,51,51,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:02:00+00:00,,28,52,0,,,,29,29,28,51,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:03:00+00:00,,29,51,0,,,,28,29,28,52,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:08:00+00:00,,29,51,0,,,,29,29,28,51,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:13:00+00:00,,28,52,0,,,,29,29,28,51,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:14:00+00:00,,29,51,0,,,,28,29,28,52,52,51,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:15:00+00:00,,29,49,0,,,,29,29,29,51,51,49,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:19:00+00:00,,29,48,0,,,,29,29,28,49,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:24:00+00:00,,28,49,0,,,,29,29,28,48,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:25:00+00:00,,29,48,0,,,,28,29,28,49,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:30:00+00:00,,29,48,0,,,,29,29,28,48,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:35:00+00:00,,28,49,0,,,,29,29,28,48,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:36:00+00:00,,29,48,0,,,,28,29,28,49,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:41:00+00:00,,28,49,0,,,,29,29,28,48,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:42:00+00:00,,29,48,0,,,,28,29,28,49,49,48,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:43:00+00:00,,29,36,0,,,,29,29,29,48,48,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:47:00+00:00,,28,36,0,,,,29,29,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 00:54:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 01:17:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 01:28:00+00:00,36.0,28,36,1,36.0,36.0,36.0,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 01:46:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 02:21:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 02:27:00+00:00,,28,36,0,,,,28,28,28,36,36,36,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 02:31:00+00:00,,28,34,0,,,,28,28,28,36,36,34,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 02:32:00+00:00,,28,34,0,,,,28,28,28,34,34,34,,KXNBAGAME-25OCT31DENPOR-POR
2025-10-30 02:33:00+00:00,34.0,28,34,2,34.0,34.0,34.0,28,28,28,34,34,34,,KXNBAGAME-25OCT31DENPOR-POR
