datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-29 19:13:00+00:00,,25,100,0,,,,25,25,25,100,100,100,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:16:00+00:00,,25,87,0,,,,25,25,25,100,100,87,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:18:00+00:00,,25,42,0,,,,25,25,25,87,87,42,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:20:00+00:00,,25,41,0,,,,25,25,25,42,42,41,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:28:00+00:00,,25,41,0,,,,25,25,25,41,41,41,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:35:00+00:00,,25,41,0,,,,25,25,25,41,41,41,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:41:00+00:00,,25,40,0,,,,25,25,25,41,41,40,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:53:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 19:55:00+00:00,,25,40,0,,,,25,25,25,40,40,40,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:37:00+00:00,,25,39,0,,,,25,25,25,40,40,39,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:46:00+00:00,,25,39,0,,,,25,25,25,39,39,39,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:47:00+00:00,,25,42,0,,,,25,25,25,39,42,39,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:48:00+00:00,,25,41,0,,,,25,25,25,42,42,41,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:52:00+00:00,,25,41,0,,,,25,25,25,41,41,41,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:53:00+00:00,,25,39,0,,,,25,25,25,41,41,39,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:54:00+00:00,,25,38,0,,,,25,25,25,39,39,38,,KXNBAGAME-25OCT31LALMEM-LAL
2025-10-29 20:55:00+00:00,,25,39,0,,,,25,25,25,38,40,38,,KXNBAGAME-25OCT31LALMEM-LAL
