datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-17 20:15:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:16:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:19:00+00:00,,7,93,0,,,,7,7,7,93,93,93,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:20:00+00:00,,25,93,0,,,,7,25,7,93,93,93,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:32:00+00:00,92.0,25,84,20,93.0,93.0,92.0,25,25,25,93,93,83,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:42:00+00:00,,26,84,0,,,,25,26,25,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:48:00+00:00,,26,84,0,,,,26,26,25,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:53:00+00:00,25.0,20,84,125,26.0,26.0,25.0,26,26,20,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:54:00+00:00,,21,82,0,,,,20,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 20:58:00+00:00,,21,82,0,,,,21,21,21,82,82,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:00:00+00:00,,21,80,0,,,,21,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:05:00+00:00,,20,80,0,,,,21,21,20,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:06:00+00:00,,21,78,0,,,,20,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:11:00+00:00,,20,92,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:12:00+00:00,,21,90,0,,,,20,21,20,92,92,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:13:00+00:00,,21,90,0,,,,21,21,21,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:17:00+00:00,,20,90,0,,,,21,21,20,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:18:00+00:00,,21,88,0,,,,20,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:23:00+00:00,,20,88,0,,,,21,21,20,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:24:00+00:00,,21,86,0,,,,20,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:29:00+00:00,,20,86,0,,,,21,21,20,86,86,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:30:00+00:00,,21,84,0,,,,20,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:35:00+00:00,,20,84,0,,,,21,21,20,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:36:00+00:00,,21,82,0,,,,20,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:41:00+00:00,,20,82,0,,,,21,21,20,82,82,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:42:00+00:00,,21,80,0,,,,20,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:47:00+00:00,,20,80,0,,,,21,21,20,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:48:00+00:00,,21,78,0,,,,20,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:53:00+00:00,,20,92,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:54:00+00:00,,21,90,0,,,,20,21,20,92,92,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 21:59:00+00:00,,20,90,0,,,,21,21,20,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:00:00+00:00,,21,88,0,,,,20,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:01:00+00:00,,21,88,0,,,,21,21,21,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:03:00+00:00,,21,88,0,,,,21,21,21,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:05:00+00:00,,20,88,0,,,,21,21,20,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:06:00+00:00,,21,86,0,,,,20,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:11:00+00:00,,20,86,0,,,,21,21,20,86,86,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:12:00+00:00,,21,84,0,,,,20,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:18:00+00:00,,21,82,0,,,,21,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:24:00+00:00,,21,80,0,,,,21,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:27:00+00:00,21.0,21,80,1,21.0,21.0,21.0,21,21,21,80,81,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:30:00+00:00,,21,78,0,,,,21,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:36:00+00:00,,21,90,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:42:00+00:00,,21,88,0,,,,21,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:48:00+00:00,,21,86,0,,,,21,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:54:00+00:00,,20,86,0,,,,21,21,20,86,86,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 22:55:00+00:00,,21,84,0,,,,20,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:00:00+00:00,,20,84,0,,,,21,21,20,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:01:00+00:00,,21,82,0,,,,20,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:06:00+00:00,,20,82,0,,,,21,21,20,82,82,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:07:00+00:00,,21,80,0,,,,20,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:09:00+00:00,,21,80,0,,,,21,21,21,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:12:00+00:00,,20,80,0,,,,21,21,20,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:13:00+00:00,,21,78,0,,,,20,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:19:00+00:00,,21,90,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:25:00+00:00,,21,88,0,,,,21,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:26:00+00:00,,21,88,0,,,,21,21,21,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:31:00+00:00,,21,86,0,,,,21,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:37:00+00:00,,21,84,0,,,,21,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:43:00+00:00,,21,82,0,,,,21,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:49:00+00:00,,21,80,0,,,,21,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-17 23:55:00+00:00,,21,78,0,,,,21,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:01:00+00:00,,20,92,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:07:00+00:00,,21,90,0,,,,20,21,20,92,92,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:12:00+00:00,,21,90,0,,,,21,21,21,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:13:00+00:00,,21,88,0,,,,21,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:19:00+00:00,,21,86,0,,,,21,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:25:00+00:00,,21,84,0,,,,21,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:31:00+00:00,,21,82,0,,,,21,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:37:00+00:00,,20,82,0,,,,21,21,20,82,82,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:38:00+00:00,,21,80,0,,,,20,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:43:00+00:00,,20,80,0,,,,21,21,20,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:44:00+00:00,,21,78,0,,,,20,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:49:00+00:00,,20,92,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:50:00+00:00,,21,90,0,,,,20,21,20,92,92,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:55:00+00:00,,20,90,0,,,,21,21,20,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:56:00+00:00,,21,88,0,,,,20,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 00:59:00+00:00,,21,88,0,,,,21,21,21,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:00:00+00:00,,21,88,0,,,,21,21,21,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:01:00+00:00,,20,88,0,,,,21,21,20,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:02:00+00:00,,21,86,0,,,,20,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:07:00+00:00,,20,86,0,,,,21,21,20,86,86,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:08:00+00:00,,21,84,0,,,,20,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:14:00+00:00,,21,82,0,,,,21,21,20,84,84,82,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:20:00+00:00,,21,80,0,,,,21,21,20,82,82,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:22:00+00:00,,21,80,0,,,,21,21,21,80,80,80,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:26:00+00:00,,21,78,0,,,,21,21,20,80,80,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:28:00+00:00,,21,78,0,,,,21,21,21,78,78,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:29:00+00:00,,21,78,0,,,,21,21,21,78,78,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:32:00+00:00,,21,90,0,,,,21,21,20,78,93,78,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:38:00+00:00,,20,90,0,,,,21,21,20,90,90,90,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:39:00+00:00,,21,88,0,,,,20,21,20,90,90,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:44:00+00:00,,20,88,0,,,,21,21,20,88,88,88,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:45:00+00:00,,21,86,0,,,,20,21,20,88,88,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:50:00+00:00,,20,86,0,,,,21,21,20,86,86,86,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:51:00+00:00,,21,84,0,,,,20,21,20,86,86,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
2025-10-18 01:53:00+00:00,,21,84,0,,,,21,21,21,84,84,84,,KXNCAAFGAME-25NOV01UGAFLA-FLA
