datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:13:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 15:34:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:29:00+00:00,,31,70,0,,,,25,31,25,92,92,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:30:00+00:00,,30,70,0,,,,31,31,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:33:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:37:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:38:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:39:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:40:00+00:00,,30,69,0,,,,30,30,30,70,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:43:00+00:00,,30,70,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:45:00+00:00,,30,70,0,,,,30,30,30,70,70,70,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:48:00+00:00,,30,69,0,,,,30,30,30,70,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:50:00+00:00,,30,69,0,,,,30,30,30,69,69,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:53:00+00:00,,30,69,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:54:00+00:00,,30,69,0,,,,30,30,30,69,69,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 17:57:00+00:00,,30,70,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:01:00+00:00,,30,69,0,,,,30,30,30,70,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:04:00+00:00,,30,70,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:08:00+00:00,,30,69,0,,,,30,30,30,70,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:11:00+00:00,,30,69,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:12:00+00:00,,30,69,0,,,,30,30,30,69,69,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:15:00+00:00,,30,69,0,,,,30,30,30,69,69,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:19:00+00:00,,30,70,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:20:00+00:00,,30,69,0,,,,30,30,30,70,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:24:00+00:00,,30,69,0,,,,30,30,30,69,70,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
2025-10-31 18:25:00+00:00,,30,69,0,,,,30,30,30,69,69,69,,KXNCAAFGAME-25NOV07HOUUCF-HOU
