datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:13:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 15:32:00+00:00,,7,93,0,,,,7,7,7,93,93,93,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 15:33:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:32:00+00:00,,51,84,0,,,,25,51,25,92,92,84,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:33:00+00:00,,51,78,0,,,,51,51,51,84,84,78,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:34:00+00:00,,51,78,0,,,,51,51,51,78,78,78,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:35:00+00:00,,51,77,0,,,,51,51,51,78,81,76,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:38:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:41:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:45:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:48:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:50:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:51:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:54:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:58:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 17:59:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:02:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:06:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:07:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:08:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:09:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:13:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:16:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:17:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:21:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
2025-10-31 18:24:00+00:00,,51,77,0,,,,51,51,51,77,77,77,,KXNCAAFGAME-25NOV07TULNMEM-MEM
