datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:13:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 15:32:00+00:00,,7,93,0,,,,7,7,7,93,93,93,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 15:33:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:32:00+00:00,,27,93,0,,,,25,27,25,92,93,92,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:33:00+00:00,,26,49,0,,,,27,27,26,93,93,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:36:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:38:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:39:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:40:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:41:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:44:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:48:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:51:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:53:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:54:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:55:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:56:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 17:59:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:03:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:06:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:08:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:09:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:13:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:14:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:15:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:19:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:20:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:21:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:25:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:26:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:27:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:31:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:32:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:33:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:37:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:38:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:39:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
2025-10-31 18:41:00+00:00,,26,49,0,,,,26,26,26,49,49,49,,KXNCAAFGAME-25NOV07TULNMEM-TULN
