datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:15:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 15:16:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 15:50:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 17:18:00+00:00,,40,92,0,,,,25,40,25,92,92,92,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 17:37:00+00:00,,40,92,0,,,,40,40,40,92,92,92,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 18:50:00+00:00,,41,92,0,,,,40,41,40,92,92,92,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 18:51:00+00:00,,41,77,0,,,,41,41,41,92,92,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 19:08:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 19:11:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 19:58:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 20:39:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 20:46:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 21:33:00+00:00,,41,77,0,,,,41,41,41,77,77,77,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 21:41:00+00:00,,41,75,0,,,,41,41,41,77,77,75,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:11:00+00:00,,41,75,0,,,,41,41,41,75,75,75,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:22:00+00:00,,41,75,0,,,,41,41,41,75,75,75,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:40:00+00:00,75.0,41,75,25,75.0,75.0,75.0,41,41,41,75,75,75,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:41:00+00:00,75.0,41,75,75,75.0,75.0,75.0,41,41,41,75,75,75,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:44:00+00:00,,42,74,0,,,,41,42,41,75,75,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:49:00+00:00,,41,75,0,,,,42,42,41,74,75,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:50:00+00:00,,42,74,0,,,,41,42,41,75,75,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:55:00+00:00,,42,74,0,,,,42,42,41,74,75,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 22:57:00+00:00,74.0,42,74,3,74.0,74.0,74.0,42,42,42,74,74,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 23:01:00+00:00,,42,74,0,,,,42,42,41,74,75,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 23:02:00+00:00,,42,74,0,,,,42,42,42,74,74,74,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 23:07:00+00:00,,42,73,0,,,,42,42,41,74,74,73,,KXNCAAFGAME-25NOV08AUBVAN-VAN
2025-10-31 23:08:00+00:00,,42,72,0,,,,42,42,42,73,73,72,,KXNCAAFGAME-25NOV08AUBVAN-VAN
