datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:13:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 15:29:00+00:00,,16,92,0,,,,7,16,7,93,93,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 15:30:00+00:00,,25,92,0,,,,16,25,16,92,92,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 16:53:00+00:00,,25,93,0,,,,25,25,25,92,93,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 16:55:00+00:00,,25,92,0,,,,25,25,25,93,93,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 16:56:00+00:00,,25,93,0,,,,25,25,25,92,93,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:38:00+00:00,,25,93,0,,,,25,25,25,93,93,93,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:41:00+00:00,21.0,21,93,55,25.0,25.0,21.0,25,25,21,93,93,93,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:43:00+00:00,,21,92,0,,,,21,21,21,93,93,92,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:49:00+00:00,,22,90,0,,,,21,22,21,92,92,90,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:51:00+00:00,,22,50,0,,,,22,22,22,90,90,50,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:54:00+00:00,,22,49,0,,,,22,22,21,50,50,49,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 17:59:00+00:00,,21,50,0,,,,22,22,21,49,50,49,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:00:00+00:00,,22,49,0,,,,21,22,21,50,50,49,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:01:00+00:00,,22,45,0,,,,22,22,22,49,49,45,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:05:00+00:00,,22,44,0,,,,22,22,21,45,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:11:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:16:00+00:00,,21,45,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:17:00+00:00,,22,44,0,,,,21,22,21,45,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:22:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:28:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:33:00+00:00,,21,45,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:34:00+00:00,,22,44,0,,,,21,22,21,45,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:39:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:45:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:50:00+00:00,,21,45,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:51:00+00:00,,22,44,0,,,,21,22,21,45,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 18:56:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:01:00+00:00,,21,45,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:02:00+00:00,,22,44,0,,,,21,22,21,45,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:07:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:08:00+00:00,,22,44,0,,,,22,22,22,44,44,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:11:00+00:00,,22,44,0,,,,22,22,22,44,44,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:13:00+00:00,,22,44,0,,,,22,22,21,44,45,44,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:15:00+00:00,,22,43,0,,,,22,22,22,44,44,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:18:00+00:00,,21,43,0,,,,22,22,21,43,43,43,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:19:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:24:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:30:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:35:00+00:00,,21,43,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:36:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:41:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:47:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:52:00+00:00,,21,43,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:53:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 19:58:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:04:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:09:00+00:00,,21,43,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:10:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:15:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:21:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:26:00+00:00,,21,43,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:27:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:32:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:38:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:40:00+00:00,,22,42,0,,,,22,22,22,42,42,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:44:00+00:00,,22,42,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:46:00+00:00,,22,42,0,,,,22,22,22,42,42,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:49:00+00:00,,21,43,0,,,,22,22,21,42,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:50:00+00:00,,22,42,0,,,,21,22,21,43,43,42,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:51:00+00:00,,22,41,0,,,,22,22,22,42,42,41,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 20:55:00+00:00,,22,40,0,,,,22,22,21,41,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:01:00+00:00,,22,40,0,,,,22,22,21,40,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:02:00+00:00,,22,40,0,,,,22,22,22,40,40,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:06:00+00:00,,21,41,0,,,,22,22,21,40,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:07:00+00:00,,22,40,0,,,,21,22,21,41,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:12:00+00:00,,21,41,0,,,,22,22,21,40,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:13:00+00:00,,22,40,0,,,,21,22,21,41,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:18:00+00:00,,22,40,0,,,,22,22,21,40,41,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:23:00+00:00,,22,40,0,,,,22,22,22,40,40,40,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:24:00+00:00,,22,39,0,,,,22,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:29:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:30:00+00:00,,22,39,0,,,,21,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:33:00+00:00,,22,39,0,,,,22,22,22,39,39,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:35:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:41:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:46:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:47:00+00:00,,22,39,0,,,,21,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:52:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 21:58:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:03:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:04:00+00:00,,22,39,0,,,,21,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:09:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:10:00+00:00,,22,39,0,,,,21,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:11:00+00:00,,22,39,0,,,,22,22,22,39,39,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:15:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:21:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:22:00+00:00,,22,39,0,,,,22,22,22,39,39,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:26:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:27:00+00:00,,22,39,0,,,,21,22,21,40,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:32:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:38:00+00:00,,22,39,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:42:00+00:00,22.0,22,39,4,22.0,22.0,22.0,22,22,22,39,39,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
2025-10-31 22:43:00+00:00,,21,40,0,,,,22,22,21,39,40,39,,KXNCAAFGAME-25NOV08BYUTTU-BYU
