datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:14:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 15:23:00+00:00,,12,93,0,,,,7,12,7,93,93,93,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 15:24:00+00:00,,25,92,0,,,,12,25,12,93,93,92,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 17:17:00+00:00,,25,47,0,,,,25,25,25,92,93,47,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 17:38:00+00:00,,25,47,0,,,,25,25,25,47,47,47,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 17:42:00+00:00,,25,46,0,,,,25,25,25,47,47,46,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 17:43:00+00:00,,25,40,0,,,,25,25,25,46,46,40,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 17:49:00+00:00,,25,33,0,,,,25,25,25,40,40,33,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 19:08:00+00:00,,25,33,0,,,,25,25,25,33,33,33,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 19:11:00+00:00,,25,33,0,,,,25,25,25,33,33,33,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 19:58:00+00:00,,25,33,0,,,,25,25,25,33,33,33,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 20:39:00+00:00,,25,33,0,,,,25,25,25,33,33,33,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 20:44:00+00:00,,25,32,0,,,,25,25,25,33,33,32,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 20:46:00+00:00,,25,32,0,,,,25,25,25,32,32,32,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 20:48:00+00:00,25.0,24,32,12,25.0,25.0,25.0,25,25,24,32,32,32,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 20:52:00+00:00,23.0,22,31,25,24.0,24.0,23.0,24,24,22,32,32,23,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 21:40:00+00:00,,22,31,0,,,,22,22,22,31,31,31,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 22:11:00+00:00,,22,31,0,,,,22,22,22,31,31,31,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 22:28:00+00:00,,22,31,0,,,,22,22,22,31,31,31,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 22:46:00+00:00,22.0,22,31,4,22.0,22.0,22.0,22,22,22,31,31,31,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 23:02:00+00:00,,22,30,0,,,,22,22,22,31,31,30,,KXNCAAFGAME-25NOV08INDPSU-PSU
2025-10-31 23:10:00+00:00,21.0,21,30,10,22.0,22.0,21.0,22,22,21,30,30,30,,KXNCAAFGAME-25NOV08INDPSU-PSU
