datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 15:14:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 15:17:00+00:00,,7,93,0,,,,1,7,1,99,99,93,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 15:26:00+00:00,,7,93,0,,,,7,7,7,93,93,93,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 15:27:00+00:00,,25,92,0,,,,7,25,7,93,93,92,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 16:08:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 17:38:00+00:00,,25,92,0,,,,25,25,25,92,92,92,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 17:45:00+00:00,,52,78,0,,,,25,52,25,92,92,77,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 17:46:00+00:00,,52,77,0,,,,52,52,52,78,78,77,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 17:47:00+00:00,,52,76,0,,,,52,52,52,77,77,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 17:53:00+00:00,,54,76,0,,,,52,54,52,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:08:00+00:00,,54,76,0,,,,54,54,54,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:11:00+00:00,,54,76,0,,,,54,54,54,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:52:00+00:00,76.0,54,76,3,76.0,76.0,76.0,54,54,54,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:57:00+00:00,76.0,54,76,8,76.0,76.0,76.0,54,54,54,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:58:00+00:00,,55,75,0,,,,54,55,54,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 19:59:00+00:00,,55,75,0,,,,55,55,55,75,75,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:04:00+00:00,,56,75,0,,,,55,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:09:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:10:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:15:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:21:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:26:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:27:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:32:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:38:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:39:00+00:00,,56,75,0,,,,56,56,56,75,75,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:44:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:45:00+00:00,,56,75,0,,,,56,56,56,75,75,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:49:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:50:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 20:55:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:01:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:06:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:07:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:12:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:13:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:18:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:24:00+00:00,,57,76,0,,,,56,57,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:29:00+00:00,,55,76,0,,,,57,57,55,76,76,76,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:30:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:33:00+00:00,,56,75,0,,,,56,56,56,75,75,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:35:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:41:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:46:00+00:00,,55,76,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:47:00+00:00,,56,75,0,,,,55,56,55,76,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
2025-10-31 21:52:00+00:00,,56,75,0,,,,56,56,55,75,76,75,,KXNCAAFGAME-25NOV08OREIOWA-ORE
