datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-20 17:46:00+00:00,,21,85,0,,,,0,21,0,99,99,85,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 17:56:00+00:00,,25,84,0,,,,21,25,21,85,85,84,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 18:23:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 18:46:00+00:00,,44,54,0,,,,25,44,25,84,84,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 19:26:00+00:00,,45,54,0,,,,44,45,25,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 20:29:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 21:32:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 22:35:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 23:10:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 23:19:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 23:38:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-20 23:39:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 00:03:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 00:42:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 00:49:00+00:00,,45,54,0,,,,45,45,45,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:02:00+00:00,,45,53,0,,,,45,45,45,54,54,53,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:27:00+00:00,53.0,46,54,18,53.0,53.0,53.0,45,46,25,53,54,53,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:28:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:29:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:30:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:31:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:32:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:33:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:34:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:35:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:36:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:37:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:38:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:39:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:40:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:41:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:42:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:43:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:44:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:45:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
2025-10-21 01:46:00+00:00,,46,54,0,,,,46,46,46,54,54,54,,KXNFLGAME-25NOV02KCBUF-KC
