datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-20 17:46:00+00:00,,21,85,0,,,,0,21,0,99,99,85,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 17:56:00+00:00,,25,84,0,,,,21,25,21,85,85,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 18:23:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:26:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:29:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:32:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:36:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:37:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:38:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:41:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:45:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:48:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:49:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:50:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:51:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:52:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:56:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 19:59:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:00:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:01:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:02:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:03:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:07:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:10:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:11:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:12:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:13:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:14:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:15:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:19:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:22:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:26:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:27:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:29:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:30:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:31:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:35:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:39:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:40:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:41:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:42:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:43:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:46:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:50:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:53:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
2025-10-20 20:55:00+00:00,,25,84,0,,,,25,25,25,84,84,84,,KXNFLGAME-25NOV03ARIDAL-DAL
