datetime,price_c,yes_bid_c,yes_ask_c,volume,price_o,price_h,price_l,yes_bid_o,yes_bid_h,yes_bid_l,yes_ask_o,yes_ask_h,yes_ask_l,trade_count,contract_id
2025-10-31 14:49:00+00:00,,1,99,0,,,,1,1,1,100,100,99,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 14:51:00+00:00,,21,85,0,,,,1,21,1,99,99,85,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 14:52:00+00:00,,25,85,0,,,,21,25,21,85,85,85,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 15:34:00+00:00,,58,62,0,,,,25,58,25,85,85,62,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 15:58:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 16:09:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 17:39:00+00:00,,58,62,0,,,,58,58,58,62,62,62,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 18:50:00+00:00,,58,61,0,,,,58,58,58,62,62,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 19:09:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 19:11:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 19:48:00+00:00,61.0,58,61,31,61.0,61.0,61.0,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 20:29:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 20:36:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 20:40:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 21:01:00+00:00,,58,61,0,,,,58,58,57,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 21:23:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 22:12:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 22:25:00+00:00,61.0,58,61,50,61.0,61.0,61.0,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:02:00+00:00,,58,60,0,,,,58,58,58,61,61,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:14:00+00:00,,58,60,0,,,,58,58,58,60,60,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:21:00+00:00,,58,60,0,,,,58,58,58,60,60,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:46:00+00:00,60.0,58,60,200,60.0,60.0,60.0,58,58,58,60,60,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:47:00+00:00,,58,61,0,,,,58,58,58,60,61,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:48:00+00:00,,58,61,0,,,,58,58,58,61,61,60,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:49:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:50:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:51:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:52:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:53:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:54:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:55:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:56:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:57:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:58:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
2025-10-31 23:59:00+00:00,,58,61,0,,,,58,58,58,61,61,61,,KXNFLGAME-25NOV10PHIGB-GB
